,Lifeform,Status,Lifecycle,Species,Depth,NNG,ssG,ssF,EVG
66,forb,native,annual,Acmispon maritimus,surface,0.016,0.006,0.003,NA
65,forb,native,annual,Acmispon maritimus,deep,0.028,0.009,0.009,NA
93,forb,native,annual,Acmispon strigosus,surface,NA,0.003,NA,NA
92,forb,native,annual,Acmispon strigosus,deep,NA,0.003,NA,NA
3,forb,native,annual,Apiastrum angustifolium,surface,NA,NA,NA,0.014
2,forb,native,annual,Apiastrum angustifolium,deep,NA,NA,NA,0.005
82,forb,native,annual,Asclepias fascicularis,surface,NA,NA,0.003,NA
81,forb,native,annual,Asclepias fascicularis,deep,NA,NA,0.003,NA
7,forb,native,annual,Claytonia parviflora,surface,NA,NA,NA,0.006
6,forb,native,annual,Claytonia parviflora,deep,NA,NA,NA,0.003
9,forb,native,annual,Claytonia perfoliata,surface,NA,NA,NA,0.006
8,forb,native,annual,Claytonia perfoliata,deep,NA,NA,NA,0.003
68,forb,native,annual,Croton setiger,surface,0.002,NA,NA,NA
67,forb,native,annual,Croton setiger,deep,0.004,NA,NA,NA
11,forb,native,annual,Cryptantha spp.,surface,0.002,NA,NA,0.005
10,forb,native,annual,Cryptantha spp.,deep,0,NA,NA,0.003
13,forb,native,annual,Emmenanthe penduliflora,surface,0.004,NA,0.003,0.006
12,forb,native,annual,Emmenanthe penduliflora,deep,0,NA,0.003,0.003
15,forb,native,annual,Erigeron canadensis,surface,0,NA,NA,0.018
14,forb,native,annual,Erigeron canadensis,deep,0.002,NA,NA,0.003
17,forb,native,annual,Eucrypta chrysanthemifolia,surface,0,NA,NA,0.014
16,forb,native,annual,Eucrypta chrysanthemifolia,deep,0.004,NA,NA,0.005
97,forb,native,annual,Juncus bufonius,surface,NA,0.003,NA,NA
84,forb,native,annual,Juncus bufonius,deep,NA,NA,0.009,NA
18,forb,native,annual,Laennecia coulteri,surface,NA,NA,NA,0.005
85,forb,native,annual,Logfia filaginoides,surface,NA,0.003,0.006,NA
98,forb,native,annual,Lupinus bicolor,surface,NA,0.003,NA,NA
20,forb,native,annual,Madia gracilis,surface,NA,NA,NA,0.005
19,forb,native,annual,Madia gracilis,deep,NA,NA,NA,0.003
26,forb,native,annual,Phacelia spp.,surface,NA,0.006,NA,0.041
25,forb,native,annual,Phacelia spp.,deep,NA,NA,0.003,0.024
28,forb,native,annual,Pseudognaphalium californicum,surface,NA,NA,NA,0.018
27,forb,native,annual,Pseudognaphalium californicum,deep,NA,NA,NA,0.005
31,forb,native,annual,Stephanomeria virgata,surface,NA,0.003,NA,0.006
99,forb,native,annual,Thysanocarpus spp.,surface,NA,0.003,NA,NA
74,forb,native,annual,Trifolium gracelentum,surface,0.002,NA,NA,NA
73,forb,native,annual,Trifolium gracelentum,deep,0.002,NA,NA,NA
101,forb,native,annual,Trifolium willdenovii,surface,NA,0.003,NA,NA
100,forb,native,annual,Trifolium willdenovii,deep,NA,0.003,NA,NA
34,forb,native,annual,Uropappus lindleyi,surface,NA,0.006,0.014,0.012
86,forb,native,annual,Uropappus lindleyi,deep,NA,NA,0.003,NA
80,forb,native,perennial,Acmispon glaber,surface,NA,0.006,0.012,NA
1,forb,native,perennial,Acmispon glaber,deep,NA,0.003,0.009,0.003
5,forb,native,perennial,Astragalus trichopodus,surface,0.002,NA,0.003,0.006
4,forb,native,perennial,Astragalus trichopodus,deep,0.002,NA,NA,0.003
94,forb,native,perennial,Calochortus clavatus,surface,NA,0.006,NA,NA
83,forb,native,perennial,Calochortus clavatus,deep,NA,NA,0.003,NA
96,forb,native,perennial,Dipterostemon capitatus,surface,NA,0.003,NA,NA
95,forb,native,perennial,Dipterostemon capitatus,deep,NA,0.003,NA,NA
70,forb,native,perennial,Fragaria vesca,surface,0.002,NA,NA,NA
69,forb,native,perennial,Fragaria vesca,deep,0,NA,NA,NA
72,forb,native,perennial,Galium porrigens,surface,0,NA,NA,NA
71,forb,native,perennial,Galium porrigens,deep,0.002,NA,NA,NA
22,forb,native,perennial,Malacothrix saxatilis,surface,NA,NA,NA,0.006
21,forb,native,perennial,Malacothrix saxatilis,deep,NA,NA,NA,0.003
24,forb,native,perennial,Penstemon heterophyllus,surface,NA,NA,NA,0.006
23,forb,native,perennial,Penstemon heterophyllus,deep,NA,NA,NA,0.003
30,forb,native,perennial,Solanum xanti,surface,NA,0.006,NA,0.018
29,forb,native,perennial,Solanum xanti,deep,NA,NA,NA,0.008
33,forb,native,perennial,Typha domingensis,surface,NA,0.003,0.012,0.005
32,forb,native,perennial,Typha domingensis,deep,NA,0.003,0.003,0.003
