system:index,ID,aspect,elevation,slope,group_15,system_ind,.geo,group_3,group_7,fire_history,southwestness,twi,hillshade
0,1,146.0097585,395,19.36286563,11,1.01,"{""type"":""Point"",""coordinates"":[-118.76013017663477,34.51824014640461]}",,,,-0.900262091,,
1,2,134.6754249,403,15.44468438,11,1.02,"{""type"":""Point"",""coordinates"":[-118.7600722083211,34.51829365561725]}",,,,-0.709779031,,
2,3,80.64220142,385,16.62924021,6,1.04,"{""type"":""Point"",""coordinates"":[-118.75993397618842,34.51678647946119]}",,,,0.987939872,,
3,4,66.074573,396,15.61095102,3,1.05,"{""type"":""Point"",""coordinates"":[-118.76030408157585,34.51700943451385]}",,,,-0.271545006,,
4,5,71.25910271,383,19.42707324,6,1.06,"{""type"":""Point"",""coordinates"":[-118.7599562716937,34.51705848462544]}",,,,-0.980630227,,
5,6,103.8845277,398,11.44076518,5,1.07,"{""type"":""Point"",""coordinates"":[-118.76054041393168,34.51681769316855]}",,,,-0.163418884,,
6,7,82.18070915,409,19.64423721,5,1.08,"{""type"":""Point"",""coordinates"":[-118.76111563796762,34.517392917204454]}",,,,-0.122863655,,
7,8,80.64220142,385,16.62924021,4,1.09,"{""type"":""Point"",""coordinates"":[-118.75980466225788,34.51667054283379]}",,,,0.987939872,,
8,9,90,429,14.32728971,5,1.1,"{""type"":""Point"",""coordinates"":[-118.76190935795513,34.51768721787398]}",,,,-0.996087835,,
9,10,118.7799235,381,18.58428736,15,1.11,"{""type"":""Point"",""coordinates"":[-118.759398884062,34.51799043674561]}",,,,0.82866733,,
10,17,147.6638006,466,23.78085544,7,2.04,"{""type"":""Point"",""coordinates"":[-118.76207434469406,34.49679187033754]}",,,,-0.358984262,,
11,18,142.3268547,473,24.224821,8,2.05,"{""type"":""Point"",""coordinates"":[-118.76227500424149,34.4969479388744]}",,,,0.547237437,,
12,19,180,446,10.09657615,8,2.06,"{""type"":""Point"",""coordinates"":[-118.76087930561175,34.49641730584904]}",,,,0.525321989,,
13,20,157.2169075,455,24.536663,13,2.07,"{""type"":""Point"",""coordinates"":[-118.76024611326214,34.49796015481353]}",,,,0.236585866,,
14,21,148.7553547,460,26.21021719,13,2.08,"{""type"":""Point"",""coordinates"":[-118.76070985977174,34.497915563803005]}",,,,0.662667286,,
15,22,155.8008828,474,25.60265886,13,2.09,"{""type"":""Point"",""coordinates"":[-118.7604423137085,34.49807609144092]}",,,,0.996467458,,
16,23,138.5731779,455,25.4061773,9,2.1,"{""type"":""Point"",""coordinates"":[-118.76091497842019,34.497732740659806]}",,,,0.033018124,,
17,24,155.8008828,474,25.60265886,13,2.11,"{""type"":""Point"",""coordinates"":[-118.76067864606436,34.49813851885567]}",,,,0.996467458,,
18,25,141.0301421,480,26.55137379,14,2.12,"{""type"":""Point"",""coordinates"":[-118.76166856649823,34.49741168538396]}",,,,-0.657618053,,
19,26,132.6485713,468,24.41683991,9,2.13,"{""type"":""Point"",""coordinates"":[-118.76166856649823,34.49713076201759]}",,,,-0.319834286,,
20,33,90,431,4.49227097,8,2.2,"{""type"":""Point"",""coordinates"":[-118.75954603439676,34.496176514392154]}",,,,-0.996087835,,
21,34,90,431,8.930009576,7,2.21,"{""type"":""Point"",""coordinates"":[-118.75955495259889,34.49654216067854]}",,,,-0.996087835,,
22,35,35.70883163,453,28.29213962,2,INT1,"{""type"":""Point"",""coordinates"":[-118.76466508240613,34.47116541658338]}",,,,0.699849783,,
23,36,41.29498557,469,31.99820789,2,INT2,"{""type"":""Point"",""coordinates"":[-118.76477655993247,34.47105393905705]}",,,,0.078076262,,
24,37,31.23686133,385,24.43596421,2,INT3,"{""type"":""Point"",""coordinates"":[-118.7613831840308,34.472382751170976]}",,,,0.527105175,,
25,38,342.6767929,461,30.68881902,1,INT4,"{""type"":""Point"",""coordinates"":[-118.76631049069486,34.470978134339134]}",,,,-0.132540454,,
26,39,353.9787932,397,20.52510367,2,INT5,"{""type"":""Point"",""coordinates"":[-118.76548109789891,34.47241396487834]}",,,,-0.984987559,,
0000000000000000000a,11,139.412985,408,19.91909843,15,1.12,"{""type"":""Point"",""coordinates"":[-118.76029516337375,34.51833824662779]}",,,,-0.722065296,,
0000000000000000000b,12,126.5590729,371,13.7441007,6,1.13,"{""type"":""Point"",""coordinates"":[-118.75947914788098,34.517700595177146]}",,,,-0.496221744,,
0000000000000000000c,13,81.21762116,365,17.64423112,5,1.14,"{""type"":""Point"",""coordinates"":[-118.75915363350408,34.51652339249903]}",,,,0.744585116,,
