system:index,ID,aspect,elevation,hillshade,slope,system_ind,group_15,group_9,group_6,group_4,group_2,fire_history,southwestness,twi,.geo
25,38,23.9253032,448.0903931,139,34.64219267,INT4,1,apple,1,1,1,,0.999918503,,"{""type"":""Point"",""coordinates"":[-118.76631049069486,34.470978134339134]}"
22,35,13.89808628,454.0540771,157,32.60596357,INT1,2,banana,2,2,1,,-0.816654617,,"{""type"":""Point"",""coordinates"":[-118.76466508240613,34.47116541658338]}"
23,36,8.011665749,469.3861084,166,34.47918911,INT2,2,banana,2,2,1,,-0.97623645,,"{""type"":""Point"",""coordinates"":[-118.76477655993247,34.47105393905705]}"
24,37,28.33371345,370.5519714,142,26.2899108,INT3,2,banana,2,2,1,,-0.311475804,,"{""type"":""Point"",""coordinates"":[-118.7613831840308,34.472382751170976]}"
26,39,356.7363305,383.8929443,183,15.33110981,INT5,2,banana,2,2,1,,0.977913825,,"{""type"":""Point"",""coordinates"":[-118.76548109789891,34.47241396487834]}"
3,4,44.52062741,390.801239,125,26.01892618,1.05,3,carrott,3,3,2,,-0.161494649,,"{""type"":""Point"",""coordinates"":[-118.76030408157585,34.51700943451385]}"
7,8,75.8984344,385.4701233,108,24.5793505,1.09,4,carrott,3,3,2,,-0.123767259,,"{""type"":""Point"",""coordinates"":[-118.75980466225788,34.51667054283379]}"
5,6,49.76403989,403.7726746,132,20.39940106,1.07,5,carrott,3,3,2,,0.769186942,,"{""type"":""Point"",""coordinates"":[-118.76054041393168,34.51681769316855]}"
6,7,86.2812005,411.0221558,98,27.10969005,1.08,5,carrott,3,3,2,,0.882933249,,"{""type"":""Point"",""coordinates"":[-118.76111563796762,34.517392917204454]}"
8,9,60.12586966,433.9730835,128,19.72093154,1.1,5,carrott,3,3,2,,0.059448896,,"{""type"":""Point"",""coordinates"":[-118.76190935795513,34.51768721787398]}"
0000000000000000000c,13,66.43159238,365.4266052,130,17.62100617,1.14,5,carrott,3,3,2,,0.081929454,,"{""type"":""Point"",""coordinates"":[-118.75915363350408,34.51652339249903]}"
2,3,64.67786592,390.0639343,105,27.42859967,1.04,6,donut,3,3,2,,-0.994913031,,"{""type"":""Point"",""coordinates"":[-118.75993397618842,34.51678647946119]}"
4,5,54.46962006,384.3249817,118,25.25244858,1.06,6,donut,3,3,2,,0.633771805,,"{""type"":""Point"",""coordinates"":[-118.7599562716937,34.51705848462544]}"
0000000000000000000b,12,171.1349197,376.644104,169,22.99227698,1.13,6,donut,3,3,2,,-0.896936321,,"{""type"":""Point"",""coordinates"":[-118.75947914788098,34.517700595177146]}"
10,17,135.2123173,472.6582336,147,15.26473574,2.04,7,eggplant,4,3,2,,-0.249624126,,"{""type"":""Point"",""coordinates"":[-118.76207434469406,34.49679187033754]}"
21,34,87.10111658,430.874115,148,10.22855568,2.21,7,eggplant,4,3,2,,0.945654978,,"{""type"":""Point"",""coordinates"":[-118.75955495259889,34.49654216067854]}"
11,18,137.0276683,475.7694702,146,16.09644777,2.05,8,eggplant,4,3,2,,0.999970066,,"{""type"":""Point"",""coordinates"":[-118.76227500424149,34.4969479388744]}"
12,19,46.52330707,453.4265442,164,6.976194777,2.06,8,eggplant,4,3,2,,-0.828659156,,"{""type"":""Point"",""coordinates"":[-118.76087930561175,34.49641730584904]}"
20,33,58.58060534,432.0314026,160,7.514949479,2.2,8,eggplant,4,3,2,,-0.996388318,,"{""type"":""Point"",""coordinates"":[-118.75954603439676,34.496176514392154]}"
0000000000000000001b,28,62.26221889,460.8553772,136,16.00556419,2.15,8,eggplant,4,3,2,,0.810941544,,"{""type"":""Point"",""coordinates"":[-118.76151249796135,34.496497569668]}"
0000000000000000001c,29,105.2066431,462.3115845,125,18.69351134,2.16,8,eggplant,4,3,2,,0.915986666,,"{""type"":""Point"",""coordinates"":[-118.76162843458877,34.49711738471443]}"
0000000000000000001d,30,46.52330707,453.4265442,164,6.976194777,2.17,8,eggplant,4,3,2,,-0.828659156,,"{""type"":""Point"",""coordinates"":[-118.76087930561175,34.49641730584904]}"
0000000000000000001f,32,67.0823873,445.1834106,131,17.19458072,2.19,8,eggplant,4,3,2,,0.668965629,,"{""type"":""Point"",""coordinates"":[-118.76041555910219,34.49664026090171]}"
16,23,160.5594668,468.5741577,152,28.04476905,2.1,9,eggplant,4,3,2,,-0.037874703,,"{""type"":""Point"",""coordinates"":[-118.76091497842019,34.497732740659806]}"
