system:index,ID,aspect,elevation,equinox_solarradiation,fire_event_count,hillshade,slope,summer_solarradiation,system_ind,twi,winter_solarradiation,long,lat,.geo
00000000000000000000,1,148,407.55,8022.96,1,150,21,5803.07,1.01,1.57,8727.52,-118.7601302,34.51824015,"{""type"":""Point"",""coordinates"":[-118.76013017663477,34.51824014640461]}"
00000000000000000001,2,134,403.86,7659.62,1,141,19,6732.97,1.02,1.39,7287.96,-118.7600722,34.51829366,"{""type"":""Point"",""coordinates"":[-118.7600722083211,34.51829365561725]}"
00000000000000000002,3,63,384.51,4705.16,1,110,26,7614.34,1.04,2.14,2258.36,-118.759934,34.51678648,"{""type"":""Point"",""coordinates"":[-118.75993397618842,34.51678647946119]}"
00000000000000000003,4,44,390.8,2912.15,1,130,24,5955.52,1.05,1.94,1448.35,-118.7603041,34.51700943,"{""type"":""Point"",""coordinates"":[-118.76030408157585,34.51700943451385]}"
00000000000000000004,5,56,379.61,4257.23,1,121,23,7276.64,1.06,2.62,1943.81,-118.7599563,34.51705848,"{""type"":""Point"",""coordinates"":[-118.7599562716937,34.51705848462544]}"
00000000000000000005,6,44,402.88,2900.3,1,138,20,5930.71,1.07,1.88,1455.01,-118.7605404,34.51681769,"{""type"":""Point"",""coordinates"":[-118.76054041393168,34.51681769316855]}"
00000000000000000006,7,76,412.76,5414.4,1,108,25,7932.46,1.08,1.39,2951.3,-118.7611156,34.51739292,"{""type"":""Point"",""coordinates"":[-118.76111563796762,34.517392917204454]}"
00000000000000000007,8,71,381,5382.27,1,110,24,8023.35,1.09,1.76,2826.38,-118.7598047,34.51667054,"{""type"":""Point"",""coordinates"":[-118.75980466225788,34.51667054283379]}"
00000000000000000008,9,60,433.63,4336.13,1,124,22,7216.07,1.1,1.19,2149.15,-118.7619094,34.51768722,"{""type"":""Point"",""coordinates"":[-118.76190935795513,34.51768721787398]}"
00000000000000000009,10,142,383.31,8000.24,1,145,19,5056.96,1.11,2.02,9454.75,-118.7593989,34.51799044,"{""type"":""Point"",""coordinates"":[-118.759398884062,34.51799043674561]}"
0000000000000000000a,11,163,409.92,7835.72,1,163,24,4045.08,1.12,1.29,10311.61,-118.7602952,34.51833825,"{""type"":""Point"",""coordinates"":[-118.76029516337375,34.51833824662779]}"
0000000000000000000b,12,160,377.36,7850.22,1,157,23,3936.35,1.13,1.6,10457.56,-118.7594791,34.5177006,"{""type"":""Point"",""coordinates"":[-118.75947914788098,34.517700595177146]}"
