date,name,year,site,transect,distance,vertical,species,species_code,max_height_cm,Notes,standtype,hillslope,coordinates_x,coordinates_y
10-Apr-24,"Kit, Carla",2024,2,7,1,1,Bromus diandrus BRDI,brdi,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,1,2,Avena barbata,avba,50,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,1,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,1,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,1,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,1,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,1,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,1,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,2,1,Avena barbata,avba,75,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,2,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,2,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,2,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,2,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,2,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,2,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,3,1,Bromus rubens BRRU,brru,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,3,2,Bromus diandrus BRDI,brdi,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,3,3,Avena barbata,avba,95,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,3,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,3,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,3,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,3,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,3,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,3,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,4,1,Bromus rubens BRRU,brru,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,4,2,Avena barbata,avba,170,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,4,2,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,4,3,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,4,4,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,4,5,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,4,6,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,4,7,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,4,ground,thatch,thatch,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,5,1,Pterostegia drymarioides,petero. dry.,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,5,2,Bromus rubens BRRU,brru,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,5,2,,,,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,5,3,Avena barbata,avba,63,,degraded,DEG2,,
10-Apr-24,"Kit, Carla",2024,2,7,5,3,,,,,degraded,DEG2,,
