standtype,species
intact,Adiantum capillus-veneris
intact,Apiastrum angustifolium
intact,Artemisia californica
intact,Avena barbata
intact,Bromus diandrus
intact,Bromus hordeaceus
intact,Bromus madritensis
intact,Bromus rubens
intact,Calochortus clavatus
intact,Carduus pycnocephalus
intact,Cenothus oliganthus
intact,Centaurea calcitrapa
intact,Centaurea melitensis
intact,Chlorogalum pomeridianum
intact,Claytonia perfoliata
intact,Dipterostemon capitatus
intact,Elymus condensatus
intact,Erodium spp.
intact,Eucrypta chrysanthemifolia
intact,Galium porrigens
intact,Heteromeles arbutifolia
intact,Malacothamnus fasciculatus
intact,Marah macrocarpa
intact,Pellaea andromedifolia
intact,Phacelia viscida
intact,Rhamnus ilicifolia
intact,Rhus ovata
intact,Salvia leucophylla
intact,Solanum xanti
intact,Stephanomeria virgata
intact,Stipa lepida
intact,Thysanocarpus curvipes
intact,Uropappus lindleyi
matrix,Acmispon glaber
matrix,Artemisia californica
matrix,Avena barbata
matrix,Baccharis pilularis
matrix,Bromus diandrus
matrix,Bromus hordeaceus
matrix,Bromus madritensis
matrix,Bromus rubens
matrix,Calochortus clavatus
matrix,Calystegia macrostegia
matrix,Centaurea melitensis
matrix,Claytonia perfoliata
matrix,Dipterostemon capitatus
matrix,Elymus condensatus
matrix,Eriodictyon crassifolium
matrix,Erodium spp.
matrix,Galium porrigens
matrix,Hirschfeldia incana
matrix,Lupinus bicolor
matrix,Lupinus succulentus
matrix,Malacothamnus fasciculatus
matrix,Marah macrocarpa
matrix,moss
matrix,Phacelia hubbyi
matrix,Pseudognaphalium luteoalbum
matrix,Rhus ovata
matrix,Salvia apiana
matrix,Salvia leucophylla
matrix,Sambucus mexicana
matrix,Solanum xanti
matrix,Stephanomeria virgata
matrix,Stipa lepida
matrix,Thysanocarpus curvipes
matrix,Trifolium gracilentum
matrix,unknown forb (Aster Family)
matrix,unknown shrub
matrix,Uropappus lindleyi
degraded,Acmispon maritimus
degraded,Artemisia californica
degraded,Avena barbata
degraded,Baccharis pilularis
degraded,Bromus diandrus
degraded,Bromus rubens
degraded,Chenopodium californicum
degraded,Dipterostemon capitatus
degraded,Elymus condensatus
degraded,Eriogonum fasciculatum
degraded,Erodium spp.
degraded,Hirschfeldia incana
degraded,Lupinus bicolor
degraded,Lupinus succulentus
degraded,Malacothamnus fasciculatus
degraded,Marah macrocarpa
degraded,Phacelia hubbyi
degraded,Salvia apiana
degraded,Salvia leucophylla
degraded,Stephanomeria virgata
degraded,Thysanocarpus curvipes
degraded,Trifolium gracilentum
