standtype,site_rep,count_per_transect,status,percentcover
intact,Intact_1_1,36,native,0.8780488
intact,Intact_2_2,38,native,0.9268293
intact,Intact_3_3,39,native,0.9512195
matrix,ENH1_1,24,native,0.5853659
matrix,ENH1_2,32,native,0.7804878
matrix,ENH1_3,38,native,0.9268293
matrix,ENH2_4,18,native,0.4390244
matrix,ENH2_5,13,native,0.3170732
matrix,ENH2_6,19,native,0.4634146
degraded,DEG1_1,19,native,0.4634146
degraded,DEG1_2,18,native,0.4390244
degraded,DEG1_3,8,native,0.195122
degraded,DEG2_4,11,native,0.2682927
degraded,DEG2_5,9,native,0.2195122
degraded,DEG2_6,9,native,0.2195122
intact,Intact_1_1,11,nonnative,0.26829268
intact,Intact_2_2,3,nonnative,0.07317073
intact,Intact_3_3,5,nonnative,0.12195122
matrix,ENH1_1,35,nonnative,0.85365854
matrix,ENH1_2,32,nonnative,0.7804878
matrix,ENH1_3,28,nonnative,0.68292683
matrix,ENH2_4,37,nonnative,0.90243902
matrix,ENH2_5,35,nonnative,0.85365854
matrix,ENH2_6,35,nonnative,0.85365854
degraded,DEG1_1,41,nonnative,1
degraded,DEG1_2,37,nonnative,0.90243902
degraded,DEG1_3,40,nonnative,0.97560976
degraded,DEG2_4,41,nonnative,1
degraded,DEG2_5,41,nonnative,1
degraded,DEG2_6,38,nonnative,0.92682927
