year,date,name,hillslope,standtype,site,rep,rep_on_the_datasheet,species_on_the_datasheet,species,notes,transect_spplist,link to tab: specieslist -> https://docs.google.com/spreadsheets/d/1FK2YxFNLESzUOiZXI4AIm9gUVStaOLQqCRljIOMnwoM/edit?usp=sharing
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,13,7,ACGL Acmispon glaber,Acmispon glaber,,,https://docs.google.com/spreadsheets/d/1FK2YxFNLESzUOiZXI4AIm9gUVStaOLQqCRljIOMnwoM/edit?usp=sharing
2024,10-Apr-24,"Kit, Carla",DEG2,matrix,2,14,1,ACGL Acmispon glaber,Acmispon glaber,,,
2024,4/28/24,Kira pusch,,,2,16,16,ACGL Acmispon glaber,Acmispon glaber,,,
2024,28-Apr-24,Kira and Joanna,,,2,15,15,ACGL Acmispon glaber,Acmispon glaber,,,
2024,28-Apr-24,Kira and Joanna,,,2,17,17,ACGL Acmispon glaber,Acmispon glaber,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,19,19,ACGL Acmispon glaber,Acmispon glaber,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,20,20,ACGL Acmispon glaber,Acmispon glaber,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,21,21,ACGL Acmispon glaber,Acmispon glaber,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,8,2,"Acmispon maritimus - round, sevfl",Acmispon maritimus,,,
2024,28-Apr-24,Kira and Joanna,,,2,17,17,"Acmispon maritimus - round, sevfl",Acmispon maritimus,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,11,5,"Acmispon strigosus - oval, sevfl",Acmispon strigosus,,,
2024,5-May-24,"Albert, Stephanie",,,1,10,10,Acourtia microcephala,Acourtia microcephala,,,
2024,25-May-24,"Stephanie, Sophia",,,INT5,1,1,Artemisia californica,Artemisia californica,arca,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,9,3,Artemisia californica,Artemisia californica,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,12,6,Artemisia californica,Artemisia californica,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,13,7,Artemisia californica,Artemisia californica,alive and dead,,
2024,4-May-24,"Stephanie, Ommar",,,1,7,7,Artemisia californica,Artemisia californica,,,
2024,4-May-24,"Stephanie, Ommar",,,1,8,8,Artemisia californica,Artemisia californica,,,
2024,5-May-24,"Albert, Stephanie",,,1,9,9,Artemisia californica,Artemisia californica,,,
2024,5-May-24,"Albert, Stephanie",,,1,10,10,Artemisia californica,Artemisia californica,,,
2024,4/28/24,Kira pusch,,,2,18,18,Artemisia californica,Artemisia californica,,,
2024,4/28/24,Kira pusch,,,2,16,16,Artemisia californica,Artemisia californica,,,
2024,28-Apr-24,Kira and Joanna,,,2,15,15,Artemisia californica,Artemisia californica,,,
2024,28-Apr-24,Kira and Joanna,,,2,17,17,Artemisia californica,Artemisia californica,,,
2024,19-May-24,"Stephanie, Sophia, Nick",,,1,14,14,Artemisia californica,Artemisia californica,,,
2024,18-May-24,"Stephanie, Ommar",,,1,13,13,Artemisia californica,Artemisia californica,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,19,19,Artemisia californica,Artemisia californica,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,20,20,Artemisia californica,Artemisia californica,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,21,21,Artemisia californica,Artemisia californica,,,
2024,18-May-24,"Stephanie, Ommar",,,1,11,11,Asclepias fascicularis,Asclepias fascicularis,,,
2024,18-May-24,"Stephanie, Ommar",,,1,13,13,Asclepias fascicularis,Asclepias fascicularis,,,
2024,4-May-24,"Stephanie, Ommar",,,1,7,7,Astragalus trichopodus,Astragalus trichopodus,,,
2024,4-May-24,"Stephanie, Ommar",,,1,8,8,Astragalus trichopodus,Astragalus trichopodus,,,
2024,18-May-24,"Stephanie, Ommar",,,1,11,11,Astragalus trichopodus,Astragalus trichopodus,,,
2024,18-May-24,"Stephanie, Ommar",,,1,13,13,Astragalus trichopodus,Astragalus trichopodus,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,8,2,Avena barbata,Avena barbata,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,7,1,Avena barbata AVBA,Avena barbata,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,9,3,Avena barbata AVBA,Avena barbata,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,10,4,Avena barbata AVBA,Avena barbata,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,11,5,Avena barbata AVBA,Avena barbata,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,12,6,Avena barbata AVBA,Avena barbata,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,13,7,Avena barbata AVBA,Avena barbata,,,
2024,10-Apr-24,"Kit, Carla",DEG2,matrix,2,14,1,Avena barbata AVBA,Avena barbata,,,
2024,4-May-24,"Stephanie, Ommar",,,1,8,8,Avena barbata AVBA,Avena barbata,,,
2024,5-May-24,"Albert, Stephanie",,,1,9,9,Avena barbata AVBA,Avena barbata,,,
2024,4/28/24,Kira pusch,,,2,18,18,Avena barbata AVBA,Avena barbata,,,
2024,4/28/24,Kira pusch,,,2,16,16,Avena barbata AVBA,Avena barbata,,,
2024,28-Apr-24,Kira and Joanna,,,2,15,15,Avena barbata AVBA,Avena barbata,,,
2024,28-Apr-24,Kira and Joanna,,,2,17,17,Avena barbata AVBA,Avena barbata,,,
2024,19-May-24,"Stephanie, Sophia, Nick",,,1,14,14,Avena barbata AVBA,Avena barbata,,,
2024,18-May-24,"Stephanie, Ommar",,,1,11,11,Avena barbata AVBA,Avena barbata,,,
2024,18-May-24,"Stephanie, Ommar",,,1,12,12,Avena barbata AVBA,Avena barbata,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,19,19,Avena barbata AVBA,Avena barbata,,,
2024,1-Jun-24,"Stephanie, Wyatt, Ommar",,,2,21,21,Avena barbata AVBA,Avena barbata,,,
2024,4-May-24,"Stephanie, Ommar",,,1,7,7,Baccharis pilularis,Baccharis pilularis,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,9,3,Blitum californicum,Blitum californicum,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,13,7,Blitum californicum,Blitum californicum,,,
2024,10-Apr-24,"Kit, Carla",DEG2,matrix,2,14,1,Blitum californicum,Blitum californicum,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,8,2,Bromus diandrus,Bromus diandrus,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,7,1,Bromus diandrus BRDI,Bromus diandrus,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,9,3,Bromus diandrus BRDI,Bromus diandrus,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,10,4,Bromus diandrus BRDI,Bromus diandrus,,,
2024,10-Apr-24,"KIT, Carla",DEG2,grass,2,11,5,Bromus diandrus BRDI,Bromus diandrus,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,12,6,Bromus diandrus BRDI,Bromus diandrus,,,
2024,10-Apr-24,"Rob, Claire",DEG2,grass,2,13,7,Bromus diandrus BRDI,Bromus diandrus,,,
2024,10-Apr-24,"Kit, Carla",DEG2,matrix,2,14,1,Bromus diandrus BRDI,Bromus diandrus,,,
2024,5-May-24,"Albert, Stephanie",,,1,9,9,Bromus diandrus BRDI,Bromus diandrus,,,
2024,5-May-24,"Albert, Stephanie",,,1,10,10,Bromus diandrus BRDI,Bromus diandrus,,,
2024,4/28/24,Kira pusch,,,2,18,18,Bromus diandrus BRDI,Bromus diandrus,,,
2024,4/28/24,Kira pusch,,,2,16,16,Bromus diandrus BRDI,Bromus diandrus,,,
