ch1_site,ch1_transect,ch1_species
2,4,Acmispon glaber
2,4,Acmispon glaber
1,1,Acmispon maritimus
2,1,Acmispon maritimus
2,3,Acmispon maritimus
INT1,1,Adiantum capillus-veneris
INT2,1,Apiastrum angustifolium
1,1,Artemisia californica
1,1,Artemisia californica
1,1,Artemisia californica
1,2,Artemisia californica
1,2,Artemisia californica
1,3,Artemisia californica
1,3,Artemisia californica
1,3,Artemisia californica
2,3,Artemisia californica
1,4,Artemisia californica
1,5,Artemisia californica
1,5,Artemisia californica
1,6,Artemisia californica
2,4,Artemisia californica
2,4,Artemisia californica
2,4,Artemisia californica
2,5,Artemisia californica
2,5,Artemisia californica
2,6,Artemisia californica
2,6,Artemisia californica
2,6,Artemisia californica
INT1,1,Artemisia californica
INT1,1,Artemisia californica
INT1,1,Artemisia californica
INT1,1,Artemisia californica
INT1,1,Artemisia californica
INT1,1,Artemisia californica
INT1,1,Artemisia californica
INT1,1,Artemisia californica
INT1,1,Artemisia californica
INT1,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT2,1,Artemisia californica
INT3,1,Artemisia californica
INT3,1,Artemisia californica
INT3,1,Artemisia californica
INT3,1,Artemisia californica
INT3,1,Artemisia californica
INT3,1,Artemisia californica
INT3,1,Artemisia californica
INT3,1,Artemisia californica
1,6,Artemisia californica
1,6,Artemisia californica
1,6,Artemisia californica
1,6,Artemisia californica
1,1,Avena barbata
1,3,Avena barbata
INT1,1,Avena barbata
2,4,Avena barbata
2,4,Avena barbata
2,4,Avena barbata
1,2,Baccharis pilularis
1,6,Baccharis pilularis
INT1,1,Bromus diandrus
INT2,1,Bromus diandrus
INT3,1,Bromus diandrus
2,4,Bromus diandrus
2,4,Bromus diandrus
INT3,1,Bromus hordeaceus
2,4,Bromus hordeaceus
2,4,Bromus hordeaceus
2,4,Bromus hordeaceus
INT3,1,Bromus rubens
1,1,Bromus rubens
1,3,Bromus rubens
INT1,1,Bromus rubens
INT2,1,Bromus rubens
2,4,Bromus rubens
2,4,Bromus rubens
2,4,Bromus rubens
1,4,Calochortus clavatus
INT2,1,Calochortus clavatus
1,4,Calystegia macrostegia
INT1,1,Carduus pycnocephalus
INT3,1,Ceanothus oliganthus
INT3,1,Ceanothus oliganthus
INT3,1,Centaurea calcitrapa
INT2,1,Centaurea melitensis
2,4,Centaurea melitensis
2,4,Centaurea melitensis
2,2,Chenopodium californicum
2,3,Chenopodium californicum
INT1,1,Chlorogalum pomeridianum
1,5,Claytonia perfoliata
INT1,1,Claytonia perfoliata
1,1,Dipterostemon capitatus
1,2,Dipterostemon capitatus
1,3,Dipterostemon capitatus
2,1,Dipterostemon capitatus
2,2,Dipterostemon capitatus
1,4,Dipterostemon capitatus
1,5,Dipterostemon capitatus
1,6,Dipterostemon capitatus
1,5,Elymus condensatus
INT2,1,Elymus condensatus
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
INT3,1,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
1,6,Eriodictyon crassifolium
2,1,Eriogonum fasciculatum
1,1,Erodium cicutarium
1,5,Erodium cicutarium
2,4,Erodium cicutarium
INT2,1,Erodium spp.
INT2,1,Eucrypta chrysanthemifolia
INT1,1,Eucrypta chrysanthemifolia
INT3,1,Eucrypta chrysanthemifolia
INT1,1,Galium porrigens
INT2,1,Galium porrigens
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT1,1,Heteromeles arbutifolia
INT2,1,Heteromeles arbutifolia
INT2,1,Heteromeles arbutifolia
INT2,1,Heteromeles arbutifolia
INT2,1,Heteromeles arbutifolia
INT2,1,Heteromeles arbutifolia
INT2,1,Heteromeles arbutifolia
INT2,1,Heteromeles arbutifolia
INT2,1,Heteromeles arbutifolia
INT2,1,Heteromeles arbutifolia
INT3,1,Heteromeles arbutifolia
INT3,1,Heteromeles arbutifolia
INT3,1,Heteromeles arbutifolia
INT3,1,Heteromeles arbutifolia
INT3,1,Heteromeles arbutifolia
INT3,1,Heteromeles arbutifolia
INT3,1,Heteromeles arbutifolia
INT3,1,Heteromeles arbutifolia
1,1,Hirschfeldia incana
1,3,Hirschfeldia incana
2,4,Hirschfeldia incana
2,4,Lupinus spp.
1,4,Lupinus bicolor
1,2,Lupinus bicolor
1,1,Lupinus spp.
1,3,Lupinus spp.
2,1,Lupinus spp.
1,5,Lupinus spp.
1,6,Lupinus spp.
1,2,Lupinus succulentus
1,4,Lupinus succulentus
1,6,Malacothamnus fasciculatus
1,6,Malacothamnus fasciculatus
1,6,Malacothamnus fasciculatus
1,6,Malacothamnus fasciculatus
1,6,Malacothamnus fasciculatus
1,6,Malacothamnus fasciculatus
