site,transect,year,distance_original,distance,vertical,species,species_code,lifeform,status,lifecycle,family,notes,hillslope,standtype
1,1,2019,1,1,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,1,1,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,1,1,3,Lupinus spp.,lupine,forb,native,annual,Fabaceae,,DEG1,degraded
1,1,2019,1,1,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,1,1,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,2,2,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,2,2,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,2,2,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,2,2,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,2,2,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,3,3,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,3,3,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,4,4,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,4,4,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,5,5,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,5,5,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,6,6,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,6,6,ground,bare_ground,bare_ground,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,7,7,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,7,7,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,7,7,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,7,7,4,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,7,7,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,8,8,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,8,8,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,9,9,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,9,9,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,9,9,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,9,9,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,9,9,5,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,9,9,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,10,10,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,10,10,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,10,10,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,10,10,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,10,10,5,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,10,10,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,11,11,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,11,11,2,Erodium cicutarium,ERCI,forb,nonnative,annual,Geraniaceae,,DEG1,degraded
1,1,2019,11,11,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,11,11,4,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,11,11,5,Dipterostemon capitatus,DICA,forb,native,perennial,Themidaceae,,DEG1,degraded
1,1,2019,11,11,6,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,11,11,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,12,12,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,12,12,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,12,12,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,12,12,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,12,12,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,13,13,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,13,13,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,13,13,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,13,13,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,14,14,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,14,14,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,14,14,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,14,14,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,15,15,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,15,15,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,15,15,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,15,15,4,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,15,15,5,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,15,15,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,16,16,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,16,16,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,16,16,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,16,16,4,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,16,16,5,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,16,16,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,17,17,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,17,17,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,17,17,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,17,17,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,17,17,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,18,18,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,18,18,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,18,18,ground,bare_ground,bare_ground,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,19,19,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,19,19,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,19,19,3,Erodium spp.,erodium,forb,nonnative,annual,Geraniaceae,,DEG1,degraded
1,1,2019,19,19,4,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,19,19,5,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,19,19,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,20,20,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,20,20,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,20,20,3,Artemisia californica,ARCA,shrub,native,perennial,Asteraceae,,DEG1,degraded
1,1,2019,20,20,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,20,20,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,21,21,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,21,21,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,21,21,3,Artemisia californica,ARCA,shrub,native,perennial,Asteraceae,,DEG1,degraded
1,1,2019,21,21,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,21,21,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,22,22,1,Erodium spp.,erodium,forb,nonnative,annual,Geraniaceae,,DEG1,degraded
1,1,2019,22,22,2,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,22,22,3,Artemisia californica,ARCA,shrub,native,perennial,Asteraceae,,DEG1,degraded
1,1,2019,22,22,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,22,22,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,23,23,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,23,23,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,23,23,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,23,23,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,23,23,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
1,1,2019,24,24,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,24,24,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,24,24,3,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,24,24,4,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,24,24,ground,thatch,nonnative_thatch,thatch,thatch,thatch,thatch,,DEG1,degraded
