trasecttype,standtype,site,rep,distance,vertical,species,lifeform,status,lifecycle,Family,lifestage,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Acmispon maritimus,herb,native,annual,Fabaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Artemisia californica,shrub,native,perennial,Asteraceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Artemisia californica,shrub,native,perennial,Asteraceae,immature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Artemisia californica,shrub,native,perennial,Asteraceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Avena barbata,grass,nonnative,annual,Poaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Bromus rubens,grass,nonnative,annual,Poaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Dipterostemon capitatus,herb,native,perennial,Themidaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Erodium cicutarium,herb,nonnative,annual,Geraniaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Hirschfeldia incana,herb,nonnative,annual,Brassicaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Lupinus spp.,herb,native,annual,Fabaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Phacelia hubbyi,herb,native,annual,Hydrophyllaceae,NA,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,immature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,mature,,,,,,,,,,,,,,,,,,,,
belt,degraded,DEG1,1,,,Salvia leucophylla,shrub,native,perennial,Lamiaceae,immature,,,,,,,,,,,,,,,,,,,,
