year,site,rep,standtype,transectsite,status,lifeform,family,species,lifespan,lifestage,link to tab: belt_byspecies => https://docs.google.com/spreadsheets/d/1JG8udkjru26Z6zy7LwNiDczkgRrB42tNG_wnW2O2R60/edit?usp=sharing
2019,1,1,DEG1,1,native,herb,Fabaceae,Acmispon maritimus,annual,not a shrub,
2019,2,4,DEG2,1,native,herb,Fabaceae,Acmispon maritimus,annual,not a shrub,
2019,2,6,DEG2,3,native,herb,Fabaceae,Acmispon maritimus,annual,not a shrub,
2019,INT1,1,Intact1,1,native,fern,Pteridaceae,Adiantum capillus-veneris,Perennial,not a shrub,
2019,1,1,DEG1,1,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,1,1,DEG1,1,native,shrub,Asteraceae,Artemisia californica,perennial,immature,
2019,1,1,DEG1,1,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,1,2,DEG1,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,1,2,DEG1,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,1,3,DEG1,3,native,shrub,Asteraceae,Artemisia californica,perennial,immature,
2019,1,3,DEG1,3,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,1,3,DEG1,3,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,2,6,DEG2,3,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,1,1,ENH1,1,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,1,2,ENH1,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,1,2,ENH1,2,native,shrub,Asteraceae,Artemisia californica,perennial,immature,
2019,1,3,ENH1,3,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,2,4,ENH2,1,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,2,4,ENH2,1,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,2,4,ENH2,1,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,2,5,ENH2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,2,5,ENH2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,2,6,ENH2,3,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,2,6,ENH2,3,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,2,6,ENH2,3,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT1,1,Intact1,1,native,shrub,Asteraceae,Artemisia californica,perennial,immature,
2019,INT1,1,Intact1,1,native,shrub,Asteraceae,Artemisia californica,perennial,immature,
2019,INT1,1,Intact1,1,native,shrub,Asteraceae,Artemisia californica,perennial,immature,
2019,INT1,1,Intact1,1,native,shrub,Asteraceae,Artemisia californica,perennial,immature,
2019,INT1,1,Intact1,1,native,shrub,Asteraceae,Artemisia californica,perennial,immature,
2019,INT1,1,Intact1,1,native,shrub,Asteraceae,Artemisia californica,perennial,immature,
2019,INT1,1,Intact1,1,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT1,1,Intact1,1,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT1,1,Intact1,1,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT1,1,Intact1,1,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,immature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,immature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,immature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,immature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,immature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,immature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,immature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,seedling,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
2019,INT2,2,Intact2,2,native,shrub,Asteraceae,Artemisia californica,perennial,dead,
2019,INT3,3,Intact3,3,native,shrub,Asteraceae,Artemisia californica,perennial,immature,
2019,INT3,3,Intact3,3,native,shrub,Asteraceae,Artemisia californica,perennial,immature,
2019,INT3,3,Intact3,3,native,shrub,Asteraceae,Artemisia californica,perennial,mature,
