standtype,site,rep,distance,vertical,species,code,lifeform,status,lifecycle,Family
degraded,DEG1,1,1,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae
degraded,DEG1,1,1,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,1,3,Lupinus spp.,lupine,herb,native,annual,Fabaceae
degraded,DEG1,1,1,4,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,1,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,2,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,2,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,2,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,1,2,4,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,2,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,3,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae
degraded,DEG1,1,3,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,4,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae
degraded,DEG1,1,4,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,5,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae
degraded,DEG1,1,5,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,6,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae
degraded,DEG1,1,6,ground,n/a,bare_ground,ground,ground,ground,ground
degraded,DEG1,1,7,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,7,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,1,7,3,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,7,4,Avena barbata,avena,grass,nonnative,annual,Poaceae
degraded,DEG1,1,7,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,8,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae
degraded,DEG1,1,8,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,9,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,9,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,1,9,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,1,9,4,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,9,5,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,1,9,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,10,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae
degraded,DEG1,1,10,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,10,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,1,10,4,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,10,5,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,1,10,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,11,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,11,2,Erodium cicutarium,ERCI,herb,nonnative,annual,Geraniaceae
degraded,DEG1,1,11,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,1,11,4,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,1,11,5,Dipterostemon capitatus,DICA,herb,native,perennial,Themidaceae
degraded,DEG1,1,11,6,Avena barbata,avena,grass,nonnative,annual,Poaceae
degraded,DEG1,1,11,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,12,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,12,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,12,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,1,12,4,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,12,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,13,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,13,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,1,13,3,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,13,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,14,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,14,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,14,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,1,14,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,15,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,15,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,1,15,3,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,15,4,Avena barbata,avena,grass,nonnative,annual,Poaceae
degraded,DEG1,1,15,5,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,15,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,16,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,16,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,16,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,1,16,4,Avena barbata,avena,grass,nonnative,annual,Poaceae
degraded,DEG1,1,16,5,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,16,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,17,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,17,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,17,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,1,17,4,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,17,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,18,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,18,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,18,ground,n/a,bare_ground,ground,ground,ground,ground
degraded,DEG1,1,19,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,19,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,1,19,3,Erodium cicutarium,erodium,herb,nonnative,annual,Geraniaceae
degraded,DEG1,1,19,4,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,1,19,5,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,19,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,20,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,20,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,1,20,3,Artemisia californica,ARCA,shrub,native,perennial,Asteraceae
degraded,DEG1,1,20,4,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,20,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,21,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,21,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,21,3,Artemisia californica,ARCA,shrub,native,perennial,Asteraceae
degraded,DEG1,1,21,4,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,21,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,22,1,Erodium cicutarium,erodium,herb,nonnative,annual,Geraniaceae
degraded,DEG1,1,22,2,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,22,3,Artemisia californica,ARCA,shrub,native,perennial,Asteraceae
degraded,DEG1,1,22,4,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,22,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,23,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,23,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,23,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,1,23,4,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,23,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,24,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,24,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae
degraded,DEG1,1,24,3,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,24,4,Avena barbata,avena,grass,nonnative,annual,Poaceae
degraded,DEG1,1,24,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,25,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,25,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae
degraded,DEG1,1,25,3,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,25,ground,n/a,nonnative_thatch,ground,ground,ground,ground
degraded,DEG1,1,26,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae
degraded,DEG1,1,26,2,Hirschfeldia incana,HIIN,herb,nonnative,annual,Brassicaceae
degraded,DEG1,1,26,ground,n/a,nonnative_thatch,ground,ground,ground,ground
