site,transect,year,distance,vertical,species,species_code,lifeform,status,lifecycle,family,notes,hillslope,standtype
1,1,2019,1,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,1,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,1,3,Lupinus spp.,lupine,forb,native,annual,Fabaceae,,DEG1,degraded
1,1,2019,1,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,1,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,2,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,2,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,2,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,2,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,2,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,3,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,3,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,4,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,4,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,5,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,5,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,6,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,6,ground,bare_ground,bare_ground,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,7,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,7,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,7,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,7,4,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,7,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,8,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,8,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,9,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,9,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,9,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,9,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,9,5,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,9,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,10,1,Avena barbata,Avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,10,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,10,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,10,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,10,5,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,10,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,11,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,11,2,Erodium cicutarium,ERCI,forb,nonnative,annual,Geraniaceae,,DEG1,degraded
1,1,2019,11,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,11,4,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,11,5,Dipterostemon capitatus,DICA,forb,native,perennial,Themidaceae,,DEG1,degraded
1,1,2019,11,6,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,11,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,12,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,12,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,12,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,12,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,12,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,13,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,13,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,13,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,13,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,14,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,14,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,14,3,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,14,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,15,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,15,2,Avena barbata,AVENA,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,15,3,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,15,4,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,15,5,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,15,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,16,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,16,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,16,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,16,4,Avena barbata,avena,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,16,5,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,16,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,17,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,17,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,17,3,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,17,4,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,17,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,18,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,18,2,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,18,ground,bare_ground,bare_ground,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,19,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
1,1,2019,19,2,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,19,3,Erodium spp.,erodium,forb,nonnative,annual,Geraniaceae,,DEG1,degraded
1,1,2019,19,4,Salvia leucophylla,SALE,shrub,native,perennial,Lamiaceae,,DEG1,degraded
1,1,2019,19,5,Hirschfeldia incana,HIIN,forb,nonnative,annual,Brassicaceae,,DEG1,degraded
1,1,2019,19,ground,thatch,nonnative_thatch,ground,ground,ground,ground,,DEG1,degraded
1,1,2019,20,1,Bromus rubens,BRRU,grass,nonnative,annual,Poaceae,,DEG1,degraded
