year,stand,site,soilcore,depthcm,depthname,treatment,species,lifeform,status,status_native,status_nonnative,lifecycle,family,totalcount,NOTES,INT_unknownID,,
2019,enhanced,ENH1,2,0,surface,charate,Acmispon glaber,herb,native,native,,Perennial,Fabaceae,1,,,,
2019,enhanced,ENH2,6,0,surface,control,Acmispon glaber,herb,native,native,,Perennial,Fabaceae,1,,,,
2019,enhanced,ENH2,6,0,surface,oven,Acmispon glaber,herb,native,native,,Perennial,Fabaceae,2,,,,
2019,enhanced,ENH2,9,4,deep,control,Acmispon glaber,herb,native,native,,Perennial,Fabaceae,1,,,,
2017,degraded,DEG1,1,4,deep,charate,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,1,4,deep,control,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,1,4,deep,oven,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,1,4,deep,ovenchar,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,1,0,surface,charate,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,1,0,surface,control,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,1,0,surface,oven,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,1,0,surface,ovenchar,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,2,4,deep,charate,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,2,4,deep,control,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,1,,,,
2017,degraded,DEG1,2,4,deep,oven,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,2,4,deep,ovenchar,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,2,0,surface,charate,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,2,0,surface,control,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,2,0,surface,oven,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,1,,,,
2017,degraded,DEG1,2,0,surface,ovenchar,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,3,4,deep,charate,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,3,4,deep,control,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,1,,,,
2017,degraded,DEG1,3,4,deep,oven,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,1,,,,
2017,degraded,DEG1,3,4,deep,ovenchar,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,3,0,surface,charate,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,3,0,surface,control,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,2,,,,
2017,degraded,DEG1,3,0,surface,oven,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,3,0,surface,ovenchar,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,2,,,,
2017,degraded,DEG1,4,4,deep,charate,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,4,4,deep,control,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,4,4,deep,oven,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,4,4,deep,ovenchar,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,4,0,surface,charate,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,4,0,surface,control,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,4,0,surface,oven,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG1,4,0,surface,ovenchar,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,0,,,,
2017,degraded,DEG2,5,4,deep,charate,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,6,,,,
2017,degraded,DEG2,5,4,deep,control,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,9,,,,
2017,degraded,DEG2,5,4,deep,oven,Acmispon maritimus,herb,native,native,,Annual,Fabaceae,14,,,,
