year,stand,site,soilcore,depth_cm,depth_name,treatment,species_diversity,genus_abundance,lifeform,status,status_native,status_nonnative,lifescycle,family,count,NOTES
2017,degraded,DEG1,1,0,surface,charate,Acmispon maritimus,Acmispon spp.,forb,native,native,,annual,Fabaceae,0,
2017,degraded,DEG1,1,0,surface,control,Acmispon maritimus,Acmispon spp.,forb,native,native,,annual,Fabaceae,0,
2017,degraded,DEG1,1,0,surface,oven,Acmispon maritimus,Acmispon spp.,forb,native,native,,annual,Fabaceae,0,
2017,degraded,DEG1,1,0,surface,ovenchar,Acmispon maritimus,Acmispon spp.,forb,native,native,,annual,Fabaceae,0,
2017,degraded,DEG1,1,0,surface,charate,Artemisia californica,Artemisia californica,shrub,native,native,,perennial,Asteraceae,0,
2017,degraded,DEG1,1,0,surface,control,Artemisia californica,Artemisia californica,shrub,native,native,,perennial,Asteraceae,0,
2017,degraded,DEG1,1,0,surface,oven,Artemisia californica,Artemisia californica,shrub,native,native,,perennial,Asteraceae,0,
2017,degraded,DEG1,1,0,surface,ovenchar,Artemisia californica,Artemisia californica,shrub,native,native,,perennial,Asteraceae,0,
2017,degraded,DEG1,1,0,surface,charate,Astragalus trichopodus,Astragalus trichopodus,forb,native,native,,perennial,Fabaceae,1,
2017,degraded,DEG1,1,0,surface,control,Astragalus trichopodus,Astragalus trichopodus,forb,native,native,,perennial,Fabaceae,0,
2017,degraded,DEG1,1,0,surface,oven,Astragalus trichopodus,Astragalus trichopodus,forb,native,native,,perennial,Fabaceae,0,
2017,degraded,DEG1,1,0,surface,ovenchar,Astragalus trichopodus,Astragalus trichopodus,forb,native,native,,perennial,Fabaceae,0,
2017,degraded,DEG1,1,0,surface,charate,Hirschfeldia incana,Hirschfeldia incana,forb,nonnative,,nonnative,annual,Brassicaceae,4,Brassicaceae Family (HIIN or RARU)
2017,degraded,DEG1,1,0,surface,control,Hirschfeldia incana,Hirschfeldia incana,forb,nonnative,,nonnative,annual,Brassicaceae,3,Brassicaceae Family (HIIN or RARU)
2017,degraded,DEG1,1,0,surface,oven,Hirschfeldia incana,Hirschfeldia incana,forb,nonnative,,nonnative,annual,Brassicaceae,0,Brassicaceae Family (HIIN or RARU)
2017,degraded,DEG1,1,0,surface,ovenchar,Hirschfeldia incana,Hirschfeldia incana,forb,nonnative,,nonnative,annual,Brassicaceae,7,Brassicaceae Family (HIIN or RARU)
2017,degraded,DEG1,1,0,surface,charate,Bromus diandrus,Bromus spp.,grass,nonnative,,nonnative,annual,Poaceae,0,
2017,degraded,DEG1,1,0,surface,control,Bromus diandrus,Bromus spp.,grass,nonnative,,nonnative,annual,Poaceae,0,
2017,degraded,DEG1,1,0,surface,oven,Bromus diandrus,Bromus spp.,grass,nonnative,,nonnative,annual,Poaceae,0,
2017,degraded,DEG1,1,0,surface,ovenchar,Bromus diandrus,Bromus spp.,grass,nonnative,,nonnative,annual,Poaceae,0,
2017,degraded,DEG1,1,0,surface,charate,Bromus madritensis,Bromus spp.,grass,nonnative,,nonnative,annual,Poaceae,2,
2017,degraded,DEG1,1,0,surface,control,Bromus madritensis,Bromus spp.,grass,nonnative,,nonnative,annual,Poaceae,4,
2017,degraded,DEG1,1,0,surface,oven,Bromus madritensis,Bromus spp.,grass,nonnative,,nonnative,annual,Poaceae,4,
2017,degraded,DEG1,1,0,surface,ovenchar,Bromus madritensis,Bromus spp.,grass,nonnative,,nonnative,annual,Poaceae,4,
2017,degraded,DEG1,1,0,surface,charate,Centaurea melitensis,Centaurea melitensis,forb,nonnative,,nonnative,annual,Asteraceae,0,
2017,degraded,DEG1,1,0,surface,control,Centaurea melitensis,Centaurea melitensis,forb,nonnative,,nonnative,annual,Asteraceae,0,
2017,degraded,DEG1,1,0,surface,oven,Centaurea melitensis,Centaurea melitensis,forb,nonnative,,nonnative,annual,Asteraceae,0,
2017,degraded,DEG1,1,0,surface,ovenchar,Centaurea melitensis,Centaurea melitensis,forb,nonnative,,nonnative,annual,Asteraceae,0,
2017,degraded,DEG1,1,0,surface,charate,Croton setiger,Croton setiger,forb,native,native,,annual,Euphorbiaceae  ,0,
2017,degraded,DEG1,1,0,surface,control,Croton setiger,Croton setiger,forb,native,native,,annual,Euphorbiaceae  ,0,
2017,degraded,DEG1,1,0,surface,oven,Croton setiger,Croton setiger,forb,native,native,,annual,Euphorbiaceae  ,0,
2017,degraded,DEG1,1,0,surface,ovenchar,Croton setiger,Croton setiger,forb,native,native,,annual,Euphorbiaceae  ,0,
2017,degraded,DEG1,1,0,surface,charate,Cryptantha spp.,Cryptantha spp.,forb,native,native,,annual,Boraginaceae,0,
2017,degraded,DEG1,1,0,surface,control,Cryptantha spp.,Cryptantha spp.,forb,native,native,,annual,Boraginaceae,0,
2017,degraded,DEG1,1,0,surface,oven,Cryptantha spp.,Cryptantha spp.,forb,native,native,,annual,Boraginaceae,0,
2017,degraded,DEG1,1,0,surface,ovenchar,Cryptantha spp.,Cryptantha spp.,forb,native,native,,annual,Boraginaceae,0,
2017,degraded,DEG1,1,0,surface,charate,Emmenanthe penduliflora,Emmenanthe penduliflora,forb,native,native,,annual,Hydrophyllaceae,1,
2017,degraded,DEG1,1,0,surface,control,Emmenanthe penduliflora,Emmenanthe penduliflora,forb,native,native,,annual,Hydrophyllaceae,0,
2017,degraded,DEG1,1,0,surface,oven,Emmenanthe penduliflora,Emmenanthe penduliflora,forb,native,native,,annual,Hydrophyllaceae,0,
2017,degraded,DEG1,1,0,surface,ovenchar,Emmenanthe penduliflora,Emmenanthe penduliflora,forb,native,native,,annual,Hydrophyllaceae,1,
2017,degraded,DEG1,1,0,surface,charate,Erigeron canadensis,Erigeron canadensis,forb,native,native,,annual,Asteraceae,0,
2017,degraded,DEG1,1,0,surface,control,Erigeron canadensis,Erigeron canadensis,forb,native,native,,annual,Asteraceae,0,
2017,degraded,DEG1,1,0,surface,oven,Erigeron canadensis,Erigeron canadensis,forb,native,native,,annual,Asteraceae,0,
2017,degraded,DEG1,1,0,surface,ovenchar,Erigeron canadensis,Erigeron canadensis,forb,native,native,,annual,Asteraceae,0,
2017,degraded,DEG1,1,0,surface,charate,Erodium cicutarium,Erodium spp.,forb,nonnative,,nonnative,annual,Geraniaceae,1,
