standtype,lifeform,status,site,rep,site_rep,count_per_transect,percentcover
degraded,fern,native,DEG1,1,DEG1_1,0,0
degraded,fern,native,DEG1,2,DEG1_2,0,0
degraded,fern,native,DEG1,3,DEG1_3,0,0
degraded,fern,native,DEG2,4,DEG2_4,0,0
degraded,fern,native,DEG2,5,DEG2_5,0,0
degraded,fern,native,DEG2,6,DEG2_6,0,0
intact,fern,native,Intact_1,1,Intact_1_1,1,0.024390244
intact,fern,native,Intact_2,2,Intact_2_2,0,0
intact,fern,native,Intact_3,3,Intact_3_3,0,0
matrix,fern,native,ENH1,1,ENH1_1,0,0
matrix,fern,native,ENH1,2,ENH1_2,0,0
matrix,fern,native,ENH1,3,ENH1_3,0,0
matrix,fern,native,ENH2,4,ENH2_4,0,0
matrix,fern,native,ENH2,5,ENH2_5,0,0
matrix,fern,native,ENH2,6,ENH2_6,0,0
degraded,fern,nonnative,DEG1,1,DEG1_1,0,0
degraded,fern,nonnative,DEG1,2,DEG1_2,0,0
degraded,fern,nonnative,DEG1,3,DEG1_3,0,0
degraded,fern,nonnative,DEG2,4,DEG2_4,0,0
degraded,fern,nonnative,DEG2,5,DEG2_5,0,0
degraded,fern,nonnative,DEG2,6,DEG2_6,0,0
intact,fern,nonnative,Intact_1,1,Intact_1_1,0,0
intact,fern,nonnative,Intact_2,2,Intact_2_2,0,0
intact,fern,nonnative,Intact_3,3,Intact_3_3,0,0
matrix,fern,nonnative,ENH1,1,ENH1_1,0,0
matrix,fern,nonnative,ENH1,2,ENH1_2,0,0
matrix,fern,nonnative,ENH1,3,ENH1_3,0,0
matrix,fern,nonnative,ENH2,4,ENH2_4,0,0
matrix,fern,nonnative,ENH2,5,ENH2_5,0,0
matrix,fern,nonnative,ENH2,6,ENH2_6,0,0
degraded,grass,native,DEG1,1,DEG1_1,0,0
degraded,grass,native,DEG1,2,DEG1_2,0,0
degraded,grass,native,DEG1,3,DEG1_3,0,0
degraded,grass,native,DEG2,4,DEG2_4,0,0
degraded,grass,native,DEG2,5,DEG2_5,0,0
degraded,grass,native,DEG2,6,DEG2_6,2,0.048780488
intact,grass,native,Intact_1,1,Intact_1_1,22,0.536585366
intact,grass,native,Intact_2,2,Intact_2_2,18,0.43902439
intact,grass,native,Intact_3,3,Intact_3_3,30,0.731707317
matrix,grass,native,ENH1,1,ENH1_1,1,0.024390244
matrix,grass,native,ENH1,2,ENH1_2,13,0.317073171
matrix,grass,native,ENH1,3,ENH1_3,7,0.170731707
matrix,grass,native,ENH2,4,ENH2_4,0,0
matrix,grass,native,ENH2,5,ENH2_5,0,0
matrix,grass,native,ENH2,6,ENH2_6,0,0
degraded,grass,nonnative,DEG1,1,DEG1_1,41,1
degraded,grass,nonnative,DEG1,2,DEG1_2,37,0.902439024
degraded,grass,nonnative,DEG1,3,DEG1_3,40,0.975609756
degraded,grass,nonnative,DEG2,4,DEG2_4,40,0.975609756
degraded,grass,nonnative,DEG2,5,DEG2_5,40,0.975609756
degraded,grass,nonnative,DEG2,6,DEG2_6,37,0.902439024
intact,grass,nonnative,Intact_1,1,Intact_1_1,10,0.243902439
intact,grass,nonnative,Intact_2,2,Intact_2_2,3,0.073170732
intact,grass,nonnative,Intact_3,3,Intact_3_3,5,0.12195122
matrix,grass,nonnative,ENH1,1,ENH1_1,31,0.756097561
matrix,grass,nonnative,ENH1,2,ENH1_2,27,0.658536585
matrix,grass,nonnative,ENH1,3,ENH1_3,19,0.463414634
