"","standtype","site","rep","species","lifeform","status","lifecycle","family"
"1","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"2","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"3","degraded","DEG1",1,"Lupinus spp.","herb","native","annual","Fabaceae"
"4","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"5","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"6","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"7","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"8","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"9","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"10","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"11","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"12","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"13","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"14","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"15","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"16","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"17","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"18","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"19","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"20","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"21","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"22","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"23","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"24","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"25","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"26","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"27","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"28","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"29","degraded","DEG1",1,"Erodium spp.","herb","nonnative","annual","Geraniaceae"
"30","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"31","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"32","degraded","DEG1",1,"Dipterostemon capitatus","herb","native","perennial","Themidaceae"
"33","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"34","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"35","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"36","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"37","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"38","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"39","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae"
"40","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
"41","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae"
"42","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae"
