"","year","site","transect","distance","vertical","species","site_rep","site_rep_dist","lifeform","status","lifecycle","family"
"1","2019","1","1","1","1","Avena barbata","1_1","1_1_1","grass","nonnative","annual","Poaceae"
"2","2019","1","1","1","2","Hirschfeldia incana","1_1","1_1_1","forb","nonnative","annual","Brassicaceae"
"3","2019","1","1","1","3","Lupinus spp.","1_1","1_1_1","forb","native","annual","Fabaceae"
"4","2019","1","1","1","4","Hirschfeldia incana","1_1","1_1_1","forb","nonnative","annual","Brassicaceae"
"5","2019","1","1","1","0","thatch","1_1","1_1_1","ground","ground","ground","ground"
"6","2019","1","1","2","1","Bromus rubens","1_1","1_1_2","grass","nonnative","annual","Poaceae"
"7","2019","1","1","2","2","Hirschfeldia incana","1_1","1_1_2","forb","nonnative","annual","Brassicaceae"
"8","2019","1","1","2","3","Avena barbata","1_1","1_1_2","grass","nonnative","annual","Poaceae"
"9","2019","1","1","2","4","Hirschfeldia incana","1_1","1_1_2","forb","nonnative","annual","Brassicaceae"
"10","2019","1","1","2","0","thatch","1_1","1_1_2","ground","ground","ground","ground"
"11","2019","1","1","3","1","Avena barbata","1_1","1_1_3","grass","nonnative","annual","Poaceae"
"12","2019","1","1","3","0","thatch","1_1","1_1_3","ground","ground","ground","ground"
"13","2019","1","1","4","1","Avena barbata","1_1","1_1_4","grass","nonnative","annual","Poaceae"
"14","2019","1","1","4","0","thatch","1_1","1_1_4","ground","ground","ground","ground"
"15","2019","1","1","5","1","Avena barbata","1_1","1_1_5","grass","nonnative","annual","Poaceae"
"16","2019","1","1","5","0","thatch","1_1","1_1_5","ground","ground","ground","ground"
"17","2019","1","1","6","1","Avena barbata","1_1","1_1_6","grass","nonnative","annual","Poaceae"
"18","2019","1","1","6","0","bare_ground","1_1","1_1_6","ground","ground","ground","ground"
"19","2019","1","1","7","1","Bromus rubens","1_1","1_1_7","grass","nonnative","annual","Poaceae"
"20","2019","1","1","7","2","Avena barbata","1_1","1_1_7","grass","nonnative","annual","Poaceae"
"21","2019","1","1","7","3","Hirschfeldia incana","1_1","1_1_7","forb","nonnative","annual","Brassicaceae"
"22","2019","1","1","7","4","Avena barbata","1_1","1_1_7","grass","nonnative","annual","Poaceae"
"23","2019","1","1","7","0","thatch","1_1","1_1_7","ground","ground","ground","ground"
"24","2019","1","1","8","1","Avena barbata","1_1","1_1_8","grass","nonnative","annual","Poaceae"
"25","2019","1","1","8","0","thatch","1_1","1_1_8","ground","ground","ground","ground"
"26","2019","1","1","9","1","Bromus rubens","1_1","1_1_9","grass","nonnative","annual","Poaceae"
"27","2019","1","1","9","2","Avena barbata","1_1","1_1_9","grass","nonnative","annual","Poaceae"
"28","2019","1","1","9","3","Salvia leucophylla","1_1","1_1_9","shrub","native","perennial","Lamiaceae"
"29","2019","1","1","9","4","Hirschfeldia incana","1_1","1_1_9","forb","nonnative","annual","Brassicaceae"
"30","2019","1","1","9","5","Avena barbata","1_1","1_1_9","grass","nonnative","annual","Poaceae"
"31","2019","1","1","9","0","thatch","1_1","1_1_9","ground","ground","ground","ground"
"32","2019","1","1","10","1","Avena barbata","1_1","1_1_10","grass","nonnative","annual","Poaceae"
"33","2019","1","1","10","2","Hirschfeldia incana","1_1","1_1_10","forb","nonnative","annual","Brassicaceae"
"34","2019","1","1","10","3","Salvia leucophylla","1_1","1_1_10","shrub","native","perennial","Lamiaceae"
"35","2019","1","1","10","4","Hirschfeldia incana","1_1","1_1_10","forb","nonnative","annual","Brassicaceae"
"36","2019","1","1","10","5","Avena barbata","1_1","1_1_10","grass","nonnative","annual","Poaceae"
"37","2019","1","1","10","0","thatch","1_1","1_1_10","ground","ground","ground","ground"
"38","2019","1","1","11","1","Bromus rubens","1_1","1_1_11","grass","nonnative","annual","Poaceae"
"39","2019","1","1","11","2","Erodium cicutarium","1_1","1_1_11","forb","nonnative","annual","Geraniaceae"
"40","2019","1","1","11","3","Avena barbata","1_1","1_1_11","grass","nonnative","annual","Poaceae"
"41","2019","1","1","11","4","Salvia leucophylla","1_1","1_1_11","shrub","native","perennial","Lamiaceae"
"42","2019","1","1","11","5","Dipterostemon capitatus","1_1","1_1_11","forb","native","perennial","Themidaceae"
"43","2019","1","1","11","6","Avena barbata","1_1","1_1_11","grass","nonnative","annual","Poaceae"
"44","2019","1","1","11","0","thatch","1_1","1_1_11","ground","ground","ground","ground"
"45","2019","1","1","12","1","Bromus rubens","1_1","1_1_12","grass","nonnative","annual","Poaceae"
"46","2019","1","1","12","2","Hirschfeldia incana","1_1","1_1_12","forb","nonnative","annual","Brassicaceae"
"47","2019","1","1","12","3","Avena barbata","1_1","1_1_12","grass","nonnative","annual","Poaceae"
"48","2019","1","1","12","4","Hirschfeldia incana","1_1","1_1_12","forb","nonnative","annual","Brassicaceae"
"49","2019","1","1","12","0","thatch","1_1","1_1_12","ground","ground","ground","ground"
"50","2019","1","1","13","1","Bromus rubens","1_1","1_1_13","grass","nonnative","annual","Poaceae"
"51","2019","1","1","13","2","Avena barbata","1_1","1_1_13","grass","nonnative","annual","Poaceae"
"52","2019","1","1","13","3","Hirschfeldia incana","1_1","1_1_13","forb","nonnative","annual","Brassicaceae"
"53","2019","1","1","13","0","thatch","1_1","1_1_13","ground","ground","ground","ground"
"54","2019","1","1","14","1","Bromus rubens","1_1","1_1_14","grass","nonnative","annual","Poaceae"
"55","2019","1","1","14","2","Hirschfeldia incana","1_1","1_1_14","forb","nonnative","annual","Brassicaceae"
"56","2019","1","1","14","3","Avena barbata","1_1","1_1_14","grass","nonnative","annual","Poaceae"
"57","2019","1","1","14","0","thatch","1_1","1_1_14","ground","ground","ground","ground"
"58","2019","1","1","15","1","Bromus rubens","1_1","1_1_15","grass","nonnative","annual","Poaceae"
"59","2019","1","1","15","2","Avena barbata","1_1","1_1_15","grass","nonnative","annual","Poaceae"
"60","2019","1","1","15","3","Hirschfeldia incana","1_1","1_1_15","forb","nonnative","annual","Brassicaceae"
"61","2019","1","1","15","4","Avena barbata","1_1","1_1_15","grass","nonnative","annual","Poaceae"
"62","2019","1","1","15","5","Hirschfeldia incana","1_1","1_1_15","forb","nonnative","annual","Brassicaceae"
"63","2019","1","1","15","0","thatch","1_1","1_1_15","ground","ground","ground","ground"
"64","2019","1","1","16","1","Bromus rubens","1_1","1_1_16","grass","nonnative","annual","Poaceae"
"65","2019","1","1","16","2","Hirschfeldia incana","1_1","1_1_16","forb","nonnative","annual","Brassicaceae"
"66","2019","1","1","16","3","Salvia leucophylla","1_1","1_1_16","shrub","native","perennial","Lamiaceae"
"67","2019","1","1","16","4","Avena barbata","1_1","1_1_16","grass","nonnative","annual","Poaceae"
"68","2019","1","1","16","5","Hirschfeldia incana","1_1","1_1_16","forb","nonnative","annual","Brassicaceae"
"69","2019","1","1","16","0","thatch","1_1","1_1_16","ground","ground","ground","ground"
"70","2019","1","1","17","1","Bromus rubens","1_1","1_1_17","grass","nonnative","annual","Poaceae"
"71","2019","1","1","17","2","Hirschfeldia incana","1_1","1_1_17","forb","nonnative","annual","Brassicaceae"
"72","2019","1","1","17","3","Salvia leucophylla","1_1","1_1_17","shrub","native","perennial","Lamiaceae"
