"","standtype","site","rep","site_rep","family","status","percent_cover"
"1","intact","INT1",1,"INT1_1","Asteraceae","nonnative",1.42857142857143
"2","intact","INT1",1,"INT1_1","Lamiaceae","native",7.14285714285714
"3","intact","INT1",1,"INT1_1","Poaceae","native",31.4285714285714
"4","intact","INT1",1,"INT1_1","Poaceae","nonnative",14.2857142857143
"5","intact","INT1",1,"INT1_1","Pteridaceae","native",1.42857142857143
"6","intact","INT1",1,"INT1_1","Rosaceae","native",41.4285714285714
"7","intact","INT1",1,"INT1_1","Rubiaceae","native",2.85714285714286
"8","intact","INT2",2,"INT2_2","Anacardiaceae","native",2.94117647058824
"9","intact","INT2",2,"INT2_2","Apiaceae","native",7.35294117647059
"10","intact","INT2",2,"INT2_2","Asteraceae","native",27.9411764705882
"11","intact","INT2",2,"INT2_2","Lamiaceae","native",14.7058823529412
"12","intact","INT2",2,"INT2_2","Poaceae","native",26.4705882352941
"13","intact","INT2",2,"INT2_2","Poaceae","nonnative",4.41176470588235
"14","intact","INT2",2,"INT2_2","Rhamnaceae","native",1.47058823529412
"15","intact","INT2",2,"INT2_2","Rosaceae","native",11.7647058823529
"16","intact","INT2",2,"INT2_2","Rubiaceae","native",1.47058823529412
"17","intact","INT2",2,"INT2_2","Themidaceae","native",1.47058823529412
"18","intact","INT3",3,"INT3_3","Anacardiaceae","native",16.4705882352941
"19","intact","INT3",3,"INT3_3","Asteraceae","native",1.17647058823529
"20","intact","INT3",3,"INT3_3","Lamiaceae","native",15.2941176470588
"21","intact","INT3",3,"INT3_3","Poaceae","native",35.2941176470588
"22","intact","INT3",3,"INT3_3","Poaceae","nonnative",5.88235294117647
"23","intact","INT3",3,"INT3_3","Rosaceae","native",25.8823529411765
"24","matrix","ENH1",1,"ENH1_1","Anacardiaceae","native",4.93827160493827
"25","matrix","ENH1",1,"ENH1_1","Asteraceae","native",1.23456790123457
"26","matrix","ENH1",1,"ENH1_1","Asteraceae","nonnative",9.87654320987654
"27","matrix","ENH1",1,"ENH1_1","Brassicaceae","nonnative",9.87654320987654
"28","matrix","ENH1",1,"ENH1_1","Geraniaceae","nonnative",1.23456790123457
"29","matrix","ENH1",1,"ENH1_1","Lamiaceae","native",14.8148148148148
"30","matrix","ENH1",1,"ENH1_1","Malvaceae","native",12.3456790123457
"31","matrix","ENH1",1,"ENH1_1","Poaceae","native",1.23456790123457
"32","matrix","ENH1",1,"ENH1_1","Poaceae","nonnative",38.2716049382716
"33","matrix","ENH1",1,"ENH1_1","Themidaceae","native",6.17283950617284
"34","matrix","ENH1",2,"ENH1_2","Asteraceae","native",3.79746835443038
"35","matrix","ENH1",2,"ENH1_2","Asteraceae","nonnative",11.3924050632911
"36","matrix","ENH1",2,"ENH1_2","Malvaceae","native",30.379746835443
"37","matrix","ENH1",2,"ENH1_2","Montiaceae","native",1.26582278481013
"38","matrix","ENH1",2,"ENH1_2","Poaceae","native",16.4556962025316
"39","matrix","ENH1",2,"ENH1_2","Poaceae","nonnative",34.1772151898734
"40","matrix","ENH1",2,"ENH1_2","Themidaceae","native",2.53164556962025
"41","matrix","ENH1",3,"ENH1_3","Asteraceae","native",5.49450549450549
"42","matrix","ENH1",3,"ENH1_3","Asteraceae","nonnative",14.2857142857143
"43","matrix","ENH1",3,"ENH1_3","Brassicaceae","nonnative",1.0989010989011
"44","matrix","ENH1",3,"ENH1_3","Cucurbitaceae","native",1.0989010989011
"45","matrix","ENH1",3,"ENH1_3","Geraniaceae","nonnative",1.0989010989011
"46","matrix","ENH1",3,"ENH1_3","Lamiaceae","native",16.4835164835165
"47","matrix","ENH1",3,"ENH1_3","Liliaceae","native",1.0989010989011
"48","matrix","ENH1",3,"ENH1_3","Malvaceae","native",27.4725274725275
"49","matrix","ENH1",3,"ENH1_3","Namaceae","native",1.0989010989011
"50","matrix","ENH1",3,"ENH1_3","Poaceae","native",7.69230769230769
"51","matrix","ENH1",3,"ENH1_3","Poaceae","nonnative",20.8791208791209
"52","matrix","ENH1",3,"ENH1_3","Rubiaceae","native",1.0989010989011
"53","matrix","ENH1",3,"ENH1_3","Solanacaeae","native",1.0989010989011
"54","matrix","ENH2",4,"ENH2_4","Asteraceae","native",1.75438596491228
"55","matrix","ENH2",4,"ENH2_4","Fabaceae","native",3.50877192982456
"56","matrix","ENH2",4,"ENH2_4","Geraniaceae","nonnative",1.75438596491228
"57","matrix","ENH2",4,"ENH2_4","Malvaceae","native",28.0701754385965
"58","matrix","ENH2",4,"ENH2_4","Poaceae","nonnative",63.1578947368421
"59","matrix","ENH2",4,"ENH2_4","Solanacaeae","native",1.75438596491228
"60","matrix","ENH2",5,"ENH2_5","Asteraceae","nonnative",5.66037735849057
"61","matrix","ENH2",5,"ENH2_5","Brassicaceae","nonnative",5.66037735849057
"62","matrix","ENH2",5,"ENH2_5","Fabaceae","native",1.88679245283019
"63","matrix","ENH2",5,"ENH2_5","Lamiaceae","native",7.54716981132075
"64","matrix","ENH2",5,"ENH2_5","Malvaceae","native",15.0943396226415
