"","standtype","site","site_rep","species","percentcover"
"1","intact","Intact_1","Intact_1_1","Bromus diandrus",0.219512195121951
"2","intact","Intact_1","Intact_1_1","Carduus pycnocephalus",0.024390243902439
"3","intact","Intact_1","Intact_1_1","Elymus condensatus",0.024390243902439
"4","intact","Intact_1","Intact_1_1","Galium porrigens",0.048780487804878
"5","intact","Intact_1","Intact_1_1","Heteromeles arbutifolia",0.51219512195122
"6","intact","Intact_1","Intact_1_1","Pellaea andromedifolia",0.024390243902439
"7","intact","Intact_1","Intact_1_1","Salvia leucophylla",0.121951219512195
"8","intact","Intact_1","Intact_1_1","Stipa lepida",0.536585365853659
"9","intact","Intact_2","Intact_2_2","Apiastrum angustifolium",0.121951219512195
"10","intact","Intact_2","Intact_2_2","Artemisia californica",0.463414634146341
"11","intact","Intact_2","Intact_2_2","Bromus rubens",0.048780487804878
"12","intact","Intact_2","Intact_2_2","Dipterostemon capitatus",0.024390243902439
"13","intact","Intact_2","Intact_2_2","Elymus condensatus",0.024390243902439
"14","intact","Intact_2","Intact_2_2","Galium porrigens",0.024390243902439
"15","intact","Intact_2","Intact_2_2","Heteromeles arbutifolia",0.170731707317073
"16","intact","Intact_2","Intact_2_2","Rhamnus ilicifolia",0.024390243902439
"17","intact","Intact_2","Intact_2_2","Rhus ovata",0.048780487804878
"18","intact","Intact_2","Intact_2_2","Salvia leucophylla",0.219512195121951
"19","intact","Intact_2","Intact_2_2","Stipa lepida",0.390243902439024
"20","intact","Intact_3","Intact_3_3","Artemisia californica",0.024390243902439
"21","intact","Intact_3","Intact_3_3","Bromus hordeaceus",0.121951219512195
"22","intact","Intact_3","Intact_3_3","Heteromeles arbutifolia",0.48780487804878
"23","intact","Intact_3","Intact_3_3","Rhus ovata",0.341463414634146
"24","intact","Intact_3","Intact_3_3","Salvia leucophylla",0.317073170731707
"25","intact","Intact_3","Intact_3_3","Stipa lepida",0.731707317073171
"26","enhancement","ENH1","ENH1_1","Artemisia californica",0.024390243902439
"27","enhancement","ENH1","ENH1_1","Avena barbata",0.317073170731707
"28","enhancement","ENH1","ENH1_1","Bromus rubens",0.463414634146341
"29","enhancement","ENH1","ENH1_1","Centaurea melitensis",0.170731707317073
"30","enhancement","ENH1","ENH1_1","Dipterostemon capitatus",0.121951219512195
"31","enhancement","ENH1","ENH1_1","Erodium cicutarium",0.024390243902439
"32","enhancement","ENH1","ENH1_1","Hirschfeldia incana",0.195121951219512
"33","enhancement","ENH1","ENH1_1","Malacothamnus fasciculatus",0.24390243902439
"34","enhancement","ENH1","ENH1_1","Pseudognaphalium luteoalbum",0.024390243902439
"35","enhancement","ENH1","ENH1_1","Rhus ovata",0.0975609756097561
"36","enhancement","ENH1","ENH1_1","Salvia leucophylla",0.292682926829268
"37","enhancement","ENH1","ENH1_1","Stipa lepida",0.024390243902439
"38","enhancement","ENH1","ENH1_2","Bromus diandrus",0.024390243902439
"39","enhancement","ENH1","ENH1_2","Bromus rubens",0.609756097560976
"40","enhancement","ENH1","ENH1_2","Centaurea melitensis",0.195121951219512
"41","enhancement","ENH1","ENH1_2","Claytonia perfoliata",0.024390243902439
"42","enhancement","ENH1","ENH1_2","Dipterostemon capitatus",0.048780487804878
"43","enhancement","ENH1","ENH1_2","Elymus condensatus",0.170731707317073
"44","enhancement","ENH1","ENH1_2","Malacothamnus fasciculatus",0.536585365853659
"45","enhancement","ENH1","ENH1_2","Stephanomeria virgata",0.0731707317073171
"46","enhancement","ENH1","ENH1_2","Stipa lepida",0.121951219512195
"47","enhancement","ENH1","ENH1_3","Artemisia californica",0.0975609756097561
"48","enhancement","ENH1","ENH1_3","Baccharis pilularis",0.024390243902439
"49","enhancement","ENH1","ENH1_3","Bromus rubens",0.463414634146341
"50","enhancement","ENH1","ENH1_3","Calochortus clavatus",0.024390243902439
"51","enhancement","ENH1","ENH1_3","Centaurea melitensis",0.292682926829268
