"","standtype","site","rep","distance","vertical","species","lifeform","status","lifecycle","family","site_rep","site_rep_dist","stand_status"
"1","degraded","DEG1",1,1,"1","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_1","degraded_nonnative"
"2","degraded","DEG1",1,1,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_1","degraded_nonnative"
"3","degraded","DEG1",1,1,"3","Lupinus spp.","herb","native","annual","Fabaceae","DEG1_1","DEG1_1_1","degraded_native"
"4","degraded","DEG1",1,1,"4","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_1","degraded_nonnative"
"5","degraded","DEG1",1,2,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_2","degraded_nonnative"
"6","degraded","DEG1",1,2,"2","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_2","degraded_nonnative"
"7","degraded","DEG1",1,2,"3","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_2","degraded_nonnative"
"8","degraded","DEG1",1,2,"4","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_2","degraded_nonnative"
"9","degraded","DEG1",1,3,"1","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_3","degraded_nonnative"
"10","degraded","DEG1",1,4,"1","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_4","degraded_nonnative"
"11","degraded","DEG1",1,5,"1","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_5","degraded_nonnative"
"12","degraded","DEG1",1,6,"1","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_6","degraded_nonnative"
"13","degraded","DEG1",1,7,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_7","degraded_nonnative"
"14","degraded","DEG1",1,7,"2","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_7","degraded_nonnative"
"15","degraded","DEG1",1,7,"3","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_7","degraded_nonnative"
"16","degraded","DEG1",1,7,"4","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_7","degraded_nonnative"
"17","degraded","DEG1",1,8,"1","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_8","degraded_nonnative"
"18","degraded","DEG1",1,9,"1","Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_9","degraded_nonnative"
"19","degraded","DEG1",1,9,"2","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_9","degraded_nonnative"
"20","degraded","DEG1",1,9,"3","Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_9","degraded_native"
"21","degraded","DEG1",1,9,"4","Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_9","degraded_nonnative"
"22","degraded","DEG1",1,9,"5","Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_9","degraded_nonnative"
