"","standtype.x","site_rep","count_per_transect","percentcover_native","standtype.y","native_fern","native_forb","native_grass","native_shrub","nonnative_fern","nonnative_forb","nonnative_grass","nonnative_shrub"
"1","intact","Intact_1_1",36,0.878048780487805,"intact",0.024390244,0.048780488,0.536585366,0.707317073,0,0.024390244,0.243902439,0
"2","intact","Intact_2_2",38,0.926829268292683,"intact",0,0.146341463,0.43902439,0.707317073,0,0,0.073170732,0
"3","intact","Intact_3_3",39,0.951219512195122,"intact",0,0,0.731707317,0.951219512,0,0,0.12195122,0
"4","matrix","ENH1_1",24,0.585365853658537,"matrix",0,0.12195122,0.024390244,0.536585366,0,0.292682927,0.756097561,0
"5","matrix","ENH1_2",32,0.780487804878049,"matrix",0,0.146341463,0.317073171,0.585365854,0,0.219512195,0.658536585,0
"6","matrix","ENH1_3",38,0.926829268292683,"matrix",0,0.097560976,0.170731707,0.804878049,0,0.365853659,0.463414634,0
"7","matrix","ENH2_4",18,0.439024390243902,"matrix",0,0.073170732,0,0.414634146,0,0.024390244,0.87804878,0
"8","matrix","ENH2_5",13,0.317073170731707,"matrix",0,0.024390244,0,0.292682927,0,0.146341463,0.829268293,0
"9","matrix","ENH2_6",19,0.463414634146341,"matrix",0,0,0,0.463414634,0,0.024390244,0.829268293,0
"10","degraded","DEG1_1",19,0.463414634146341,"degraded",0,0.097560976,0,0.390243902,0,0.804878049,1,0
"11","degraded","DEG1_2",18,0.439024390243902,"degraded",0,0.048780488,0,0.390243902,0,0.609756098,0.902439024,0
"12","degraded","DEG1_3",8,0.195121951219512,"degraded",0,0,0,0.195121951,0,0.292682927,0.975609756,0
"13","degraded","DEG2_4",11,0.268292682926829,"degraded",0,0,0,0.268292683,0,0.341463415,0.975609756,0
"14","degraded","DEG2_5",9,0.219512195121951,"degraded",0,0.024390244,0,0.219512195,0,0.585365854,0.975609756,0
"15","degraded","DEG2_6",9,0.219512195121951,"degraded",0,0.048780488,0.048780488,0.170731707,0,0.463414634,0.902439024,0
