"","year","site","rep","standtype","status","lifeform","family","species","lifespan","link.to.tab..belt_byspecies....https...docs.google.com.spreadsheets.d.1JG8udkjru26Z6zy7LwNiDczkgRrB42tNG_wnW2O2R60.edit.usp.sharing","site_rep","site_rep_species"
"1",2019,NA,4,"ENH2","native","herb","Fabaceae","Acmispon glaber","perennial",NA,"NA_4","NA_4_Acmispon glaber"
"2",2019,NA,4,"ENH2","native","herb","Fabaceae","Acmispon glaber","perennial",NA,"NA_4","NA_4_Acmispon glaber"
"3",2019,NA,1,"DEG1","native","herb","Fabaceae","Acmispon maritimus","annual",NA,"NA_1","NA_1_Acmispon maritimus"
"4",2019,NA,4,"DEG2","native","herb","Fabaceae","Acmispon maritimus","annual",NA,"NA_4","NA_4_Acmispon maritimus"
"5",2019,NA,6,"DEG2","native","herb","Fabaceae","Acmispon maritimus","annual",NA,"NA_6","NA_6_Acmispon maritimus"
"6",2019,NA,1,"Intact1","native","fern","Pteridaceae","Adiantum capillus-veneris","perennial",NA,"NA_1","NA_1_Adiantum capillus-veneris"
"7",2019,NA,2,"Intact2","native","herb","Apiaceae","Apiastrum angustifolium","annual",NA,"NA_2","NA_2_Apiastrum angustifolium"
"8",2019,NA,1,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_1","NA_1_Artemisia californica"
"9",2019,NA,1,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_1","NA_1_Artemisia californica"
"10",2019,NA,1,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_1","NA_1_Artemisia californica"
"11",2019,NA,2,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"12",2019,NA,2,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"13",2019,NA,3,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_3","NA_3_Artemisia californica"
"14",2019,NA,3,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_3","NA_3_Artemisia californica"
"15",2019,NA,3,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_3","NA_3_Artemisia californica"
"16",2019,NA,6,"DEG2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_6","NA_6_Artemisia californica"
"17",2019,NA,1,"ENH1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_1","NA_1_Artemisia californica"
"18",2019,NA,2,"ENH1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"19",2019,NA,2,"ENH1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"20",2019,NA,3,"ENH1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_3","NA_3_Artemisia californica"
"21",2019,NA,4,"ENH2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_4","NA_4_Artemisia californica"
"22",2019,NA,4,"ENH2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_4","NA_4_Artemisia californica"
"23",2019,NA,4,"ENH2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_4","NA_4_Artemisia californica"
"24",2019,NA,5,"ENH2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_5","NA_5_Artemisia californica"
"25",2019,NA,5,"ENH2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_5","NA_5_Artemisia californica"
"26",2019,NA,6,"ENH2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_6","NA_6_Artemisia californica"
"27",2019,NA,6,"ENH2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_6","NA_6_Artemisia californica"
"28",2019,NA,6,"ENH2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_6","NA_6_Artemisia californica"
"29",2019,NA,1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_1","NA_1_Artemisia californica"
"30",2019,NA,1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_1","NA_1_Artemisia californica"
"31",2019,NA,1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_1","NA_1_Artemisia californica"
"32",2019,NA,1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_1","NA_1_Artemisia californica"
"33",2019,NA,1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_1","NA_1_Artemisia californica"
"34",2019,NA,1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_1","NA_1_Artemisia californica"
"35",2019,NA,1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_1","NA_1_Artemisia californica"
"36",2019,NA,1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_1","NA_1_Artemisia californica"
"37",2019,NA,1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_1","NA_1_Artemisia californica"
"38",2019,NA,1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_1","NA_1_Artemisia californica"
"39",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"40",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"41",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"42",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"43",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"44",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"45",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"46",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"47",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"48",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"49",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"50",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"51",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"52",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"53",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"54",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"55",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"56",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"57",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"58",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"59",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"60",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"61",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"62",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"63",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"64",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"65",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"66",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"67",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"68",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"69",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"70",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"71",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"72",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"73",2019,NA,2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_2","NA_2_Artemisia californica"
"74",2019,NA,3,"Intact3","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_3","NA_3_Artemisia californica"
"75",2019,NA,3,"Intact3","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_3","NA_3_Artemisia californica"
"76",2019,NA,3,"Intact3","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_3","NA_3_Artemisia californica"
"77",2019,NA,3,"Intact3","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_3","NA_3_Artemisia californica"
"78",2019,NA,3,"Intact3","native","shrub","Asteraceae","Artemisia californica","perennial",NA,"NA_3","NA_3_Artemisia californica"
