"","standtype","site_rep","percentcover","status_lifeform"
"1","degraded","DEG1_1",0,"native_fern"
"2","degraded","DEG1_2",0,"native_fern"
"3","degraded","DEG1_3",0,"native_fern"
"4","degraded","DEG2_4",0,"native_fern"
"5","degraded","DEG2_5",0,"native_fern"
"6","degraded","DEG2_6",0,"native_fern"
"7","intact","Intact_1_1",0.024390244,"native_fern"
"8","intact","Intact_2_2",0,"native_fern"
"9","intact","Intact_3_3",0,"native_fern"
"10","matrix","ENH1_1",0,"native_fern"
"11","matrix","ENH1_2",0,"native_fern"
"12","matrix","ENH1_3",0,"native_fern"
"13","matrix","ENH2_4",0,"native_fern"
"14","matrix","ENH2_5",0,"native_fern"
"15","matrix","ENH2_6",0,"native_fern"
"16","degraded","DEG1_1",0,"nonnative_fern"
"17","degraded","DEG1_2",0,"nonnative_fern"
"18","degraded","DEG1_3",0,"nonnative_fern"
"19","degraded","DEG2_4",0,"nonnative_fern"
"20","degraded","DEG2_5",0,"nonnative_fern"
"21","degraded","DEG2_6",0,"nonnative_fern"
"22","intact","Intact_1_1",0,"nonnative_fern"
"23","intact","Intact_2_2",0,"nonnative_fern"
"24","intact","Intact_3_3",0,"nonnative_fern"
"25","matrix","ENH1_1",0,"nonnative_fern"
"26","matrix","ENH1_2",0,"nonnative_fern"
"27","matrix","ENH1_3",0,"nonnative_fern"
"28","matrix","ENH2_4",0,"nonnative_fern"
"29","matrix","ENH2_5",0,"nonnative_fern"
"30","matrix","ENH2_6",0,"nonnative_fern"
"31","degraded","DEG1_1",0,"native_grass"
"32","degraded","DEG1_2",0,"native_grass"
"33","degraded","DEG1_3",0,"native_grass"
"34","degraded","DEG2_4",0,"native_grass"
"35","degraded","DEG2_5",0,"native_grass"
"36","degraded","DEG2_6",0.048780488,"native_grass"
"37","intact","Intact_1_1",0.536585366,"native_grass"
"38","intact","Intact_2_2",0.43902439,"native_grass"
"39","intact","Intact_3_3",0.731707317,"native_grass"
"40","matrix","ENH1_1",0.024390244,"native_grass"
"41","matrix","ENH1_2",0.317073171,"native_grass"
"42","matrix","ENH1_3",0.170731707,"native_grass"
"43","matrix","ENH2_4",0,"native_grass"
"44","matrix","ENH2_5",0,"native_grass"
"45","matrix","ENH2_6",0,"native_grass"
"46","degraded","DEG1_1",1,"nonnative_grass"
"47","degraded","DEG1_2",0.902439024,"nonnative_grass"
"48","degraded","DEG1_3",0.975609756,"nonnative_grass"
"49","degraded","DEG2_4",0.975609756,"nonnative_grass"
"50","degraded","DEG2_5",0.975609756,"nonnative_grass"
"51","degraded","DEG2_6",0.902439024,"nonnative_grass"
"52","intact","Intact_1_1",0.243902439,"nonnative_grass"
"53","intact","Intact_2_2",0.073170732,"nonnative_grass"
"54","intact","Intact_3_3",0.12195122,"nonnative_grass"
"55","matrix","ENH1_1",0.756097561,"nonnative_grass"
"56","matrix","ENH1_2",0.658536585,"nonnative_grass"
"57","matrix","ENH1_3",0.463414634,"nonnative_grass"
"58","matrix","ENH2_4",0.87804878,"nonnative_grass"
"59","matrix","ENH2_5",0.829268293,"nonnative_grass"
"60","matrix","ENH2_6",0.829268293,"nonnative_grass"
"61","degraded","DEG1_1",0.097560976,"native_forb"
"62","degraded","DEG1_2",0.048780488,"native_forb"
"63","degraded","DEG1_3",0,"native_forb"
"64","degraded","DEG2_4",0,"native_forb"
"65","degraded","DEG2_5",0.024390244,"native_forb"
"66","degraded","DEG2_6",0.048780488,"native_forb"
"67","intact","Intact_1_1",0.048780488,"native_forb"
"68","intact","Intact_2_2",0.146341463,"native_forb"
"69","intact","Intact_3_3",0,"native_forb"
"70","matrix","ENH1_1",0.12195122,"native_forb"
"71","matrix","ENH1_2",0.146341463,"native_forb"
"72","matrix","ENH1_3",0.097560976,"native_forb"
"73","matrix","ENH2_4",0.073170732,"native_forb"
"74","matrix","ENH2_5",0.024390244,"native_forb"
"75","matrix","ENH2_6",0,"native_forb"
"76","degraded","DEG1_1",0.804878049,"nonnative_forb"
"77","degraded","DEG1_2",0.609756098,"nonnative_forb"
"78","degraded","DEG1_3",0.292682927,"nonnative_forb"
"79","degraded","DEG2_4",0.341463415,"nonnative_forb"
"80","degraded","DEG2_5",0.585365854,"nonnative_forb"
"81","degraded","DEG2_6",0.463414634,"nonnative_forb"
"82","intact","Intact_1_1",0.024390244,"nonnative_forb"
"83","intact","Intact_2_2",0,"nonnative_forb"
"84","intact","Intact_3_3",0,"nonnative_forb"
"85","matrix","ENH1_1",0.292682927,"nonnative_forb"
"86","matrix","ENH1_2",0.219512195,"nonnative_forb"
"87","matrix","ENH1_3",0.365853659,"nonnative_forb"
"88","matrix","ENH2_4",0.024390244,"nonnative_forb"
"89","matrix","ENH2_5",0.146341463,"nonnative_forb"
"90","matrix","ENH2_6",0.024390244,"nonnative_forb"
"91","degraded","DEG1_1",0.390243902,"native_shrub"
"92","degraded","DEG1_2",0.390243902,"native_shrub"
"93","degraded","DEG1_3",0.195121951,"native_shrub"
"94","degraded","DEG2_4",0.268292683,"native_shrub"
"95","degraded","DEG2_5",0.219512195,"native_shrub"
"96","degraded","DEG2_6",0.170731707,"native_shrub"
"97","intact","Intact_1_1",0.707317073,"native_shrub"
"98","intact","Intact_2_2",0.707317073,"native_shrub"
"99","intact","Intact_3_3",0.951219512,"native_shrub"
"100","matrix","ENH1_1",0.536585366,"native_shrub"
"101","matrix","ENH1_2",0.585365854,"native_shrub"
"102","matrix","ENH1_3",0.804878049,"native_shrub"
"103","matrix","ENH2_4",0.414634146,"native_shrub"
"104","matrix","ENH2_5",0.292682927,"native_shrub"
"105","matrix","ENH2_6",0.463414634,"native_shrub"
"106","degraded","DEG1_1",0,"nonnative_shrub"
