"","DEG1_1","DEG1_2","DEG1_3","DEG2_4","DEG2_5","DEG2_6","ENH1_1","ENH1_2","ENH1_3","ENH2_4","ENH2_5","ENH2_6","Intact_1_1","Intact_2_2","Intact_3_3"
"1",0,0,0,0,0,0,0,0,0,0.024390244,0.024390244,0,0,0,0
"2",0.024390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.12195122,0
"4",0.073170732,0.048780488,0.048780488,0,0,0.048780488,0.024390244,0,0.097560976,0.024390244,0,0.048780488,0,0.463414634,0.024390244
"5",0.634146341,0.658536585,0.853658537,0.853658537,0.707317073,0.731707317,0.317073171,0,0,0.219512195,0.585365854,0.268292683,0,0,0
"6",0,0,0,0,0,0,0,0,0.024390244,0,0,0,0,0,0
"7",0,0,0.097560976,0.048780488,0,0.024390244,0,0.024390244,0,0.512195122,0,0.365853659,0.219512195,0,0
"8",0,0,0,0,0,0,0,0,0,0.195121951,0.048780488,0.219512195,0,0,0.12195122
"9",0,0,0,0,0,0,0,0,0,0.097560976,0,0.024390244,0,0,0
"10",0.780487805,0.585365854,0.341463415,0.073170732,0.87804878,0.048780488,0.463414634,0.609756098,0.463414634,0,0.12195122,0,0,0.048780488,0
"11",0,0,0,0,0,0,0,0,0.024390244,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0.024390244,0,0
"13",0,0,0,0,0,0,0.170731707,0.195121951,0.292682927,0,0,0.024390244,0,0,0
"14",0,0,0,0,0,0,0,0.024390244,0,0,0,0,0,0,0
"15",0,0,0,0.024390244,0.024390244,0,0,0,0,0,0,0.024390244,0,0,0
"16",0.024390244,0,0,0,0,0.024390244,0.12195122,0.048780488,0,0,0,0,0,0.024390244,0
"17",0,0,0,0,0,0.048780488,0,0.170731707,0,0,0,0,0.024390244,0.024390244,0
"18",0,0,0,0,0,0,0,0,0.024390244,0,0,0,0,0,0
"19",0.073170732,0.024390244,0,0.048780488,0.170731707,0.073170732,0.024390244,0,0.024390244,0.024390244,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0.024390244,0,0,0,0.048780488,0.024390244,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0.512195122,0.170731707,0.487804878
"22",0.780487805,0.585365854,0.268292683,0.146341463,0.365853659,0.292682927,0.195121951,0,0.024390244,0,0.048780488,0,0,0,0
"23",0.048780488,0.048780488,0,0,0.024390244,0.024390244,0,0,0,0.024390244,0,0,0,0,0
"24",0,0,0,0.073170732,0.195121951,0.12195122,0.243902439,0.536585366,0.512195122,0.317073171,0.170731707,0.317073171,0,0,0
"25",0,0,0,0,0,0,0,0,0.024390244,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0.024390244,0,0
"27",0,0,0,0,0,0,0.024390244,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390244,0
"29",0,0,0,0,0,0,0.097560976,0,0,0,0,0,0,0.048780488,0.341463415
"30",0.341463415,0.341463415,0.097560976,0.170731707,0,0,0.292682927,0,0.365853659,0,0.097560976,0.195121951,0.12195122,0.219512195,0.317073171
"31",0,0,0,0,0,0,0,0,0.024390244,0.024390244,0,0,0,0,0
"32",0,0,0,0,0,0,0,0.073170732,0,0,0,0,0,0,0
"33",0,0,0,0,0,0,0.024390244,0.12195122,0.170731707,0,0,0,0.536585366,0.390243902,0.731707317
