"","standtype","site","rep","species","lifeform","status","lifecycle","family","site_rep","site_rep_species"
"1","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"2","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"3","degraded","DEG1",1,"Lupinus spp.","herb","native","annual","Fabaceae","DEG1_1","DEG1_1_Lupinus spp."
"4","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"5","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"6","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"7","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"8","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"9","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"10","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"11","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"12","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"13","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"14","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"15","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"16","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"17","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"18","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens"
"19","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
"20","degraded","DEG1",1,"Salvia leucophylla","shrub","native","perennial","Lamiaceae","DEG1_1","DEG1_1_Salvia leucophylla"
"21","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana"
"22","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata"
