standtype,site,rep,species,lifeform,status,lifecycle,family,site_rep
matrix,ENH2,4,Acmispon glaber,herb,native,annual,Fabaceae,ENH2_4
matrix,ENH2,5,Acmispon glaber,herb,native,annual,Fabaceae,ENH2_5
degraded,DEG1,1,Acmispon maritimus,herb,native,annual,Fabaceae,DEG1_1
intact,Intact_2,2,Apiastrum angustifolium,herb,native,annual,Apiaceae,Intact_2_2
intact,Intact_2,2,Apiastrum angustifolium,herb,native,annual,Apiaceae,Intact_2_2
intact,Intact_2,2,Apiastrum angustifolium,herb,native,annual,Apiaceae,Intact_2_2
intact,Intact_2,2,Apiastrum angustifolium,herb,native,annual,Apiaceae,Intact_2_2
intact,Intact_2,2,Apiastrum angustifolium,herb,native,annual,Apiaceae,Intact_2_2
intact,Intact_2,2,Apiastrum angustifolium,herb,native,annual,Apiaceae,Intact_2_2
degraded,DEG1,1,Artemisia californica,shrub,native,perennial,Asteraceae,DEG1_1
degraded,DEG1,1,Artemisia californica,shrub,native,perennial,Asteraceae,DEG1_1
degraded,DEG1,1,Artemisia californica,shrub,native,perennial,Asteraceae,DEG1_1
degraded,DEG1,2,Artemisia californica,shrub,native,perennial,Asteraceae,DEG1_2
degraded,DEG1,2,Artemisia californica,shrub,native,perennial,Asteraceae,DEG1_2
degraded,DEG1,2,Artemisia californica,shrub,native,perennial,Asteraceae,DEG1_2
degraded,DEG1,3,Artemisia californica,shrub,native,perennial,Asteraceae,DEG1_3
degraded,DEG1,3,Artemisia californica,shrub,native,perennial,Asteraceae,DEG1_3
degraded,DEG1,3,Artemisia californica,shrub,native,perennial,Asteraceae,DEG1_3
degraded,DEG2,6,Artemisia californica,shrub,native,perennial,Asteraceae,DEG2_6
degraded,DEG2,6,Artemisia californica,shrub,native,perennial,Asteraceae,DEG2_6
intact,Intact_2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact_2_2
intact,Intact_2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact_2_2
intact,Intact_2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact_2_2
intact,Intact_2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact_2_2
intact,Intact_2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact_2_2
intact,Intact_2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact_2_2
intact,Intact_2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact_2_2
intact,Intact_2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact_2_2
intact,Intact_2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact_2_2
intact,Intact_2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact_2_2
intact,Intact_2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact_2_2
intact,Intact_2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact_2_2
intact,Intact_2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact_2_2
intact,Intact_2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact_2_2
intact,Intact_2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact_2_2
intact,Intact_2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact_2_2
intact,Intact_2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact_2_2
intact,Intact_2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact_2_2
intact,Intact_2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact_2_2
intact,Intact_2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact_2_2
intact,Intact_3,3,Artemisia californica,shrub,native,perennial,Asteraceae,Intact_3_3
matrix,ENH1,1,Artemisia californica,shrub,native,perennial,Asteraceae,ENH1_1
matrix,ENH1,3,Artemisia californica,shrub,native,perennial,Asteraceae,ENH1_3
matrix,ENH1,3,Artemisia californica,shrub,native,perennial,Asteraceae,ENH1_3
matrix,ENH1,3,Artemisia californica,shrub,native,perennial,Asteraceae,ENH1_3
matrix,ENH1,3,Artemisia californica,shrub,native,perennial,Asteraceae,ENH1_3
matrix,ENH1,3,Artemisia californica,shrub,native,perennial,Asteraceae,ENH1_3
matrix,ENH2,4,Artemisia californica,shrub,native,perennial,Asteraceae,ENH2_4
matrix,ENH2,6,Artemisia californica,shrub,native,perennial,Asteraceae,ENH2_6
matrix,ENH2,6,Artemisia californica,shrub,native,perennial,Asteraceae,ENH2_6
intact,Intact2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact2_2
degraded,DEG1,1,Artemisia californica,shrub,native,perennial,Asteraceae,DEG1_1
degraded,DEG1,3,Artemisia californica,shrub,native,perennial,Asteraceae,DEG1_3
matrix,ENH1,2,Artemisia californica,shrub,native,perennial,Asteraceae,ENH1_2
degraded,DEG2,6,Artemisia californica,shrub,native,perennial,Asteraceae,DEG2_6
matrix,ENH1,1,Artemisia californica,shrub,native,perennial,Asteraceae,ENH1_1
matrix,ENH1,2,Artemisia californica,shrub,native,perennial,Asteraceae,ENH1_2
intact,Intact2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact2_2
intact,Intact3,3,Artemisia californica,shrub,native,perennial,Asteraceae,Intact3_3
matrix,ENH1,3,Artemisia californica,shrub,native,perennial,Asteraceae,ENH1_3
degraded,DEG1,1,Artemisia californica,shrub,native,perennial,Asteraceae,DEG1_1
degraded,DEG1,2,Artemisia californica,shrub,native,perennial,Asteraceae,DEG1_2
degraded,DEG1,3,Artemisia californica,shrub,native,perennial,Asteraceae,DEG1_3
matrix,ENH2,5,Artemisia californica,shrub,native,perennial,Asteraceae,ENH2_5
matrix,ENH1,3,Artemisia californica,shrub,native,perennial,Asteraceae,ENH1_3
matrix,ENH2,4,Artemisia californica,shrub,native,perennial,Asteraceae,ENH2_4
matrix,ENH2,6,Artemisia californica,shrub,native,perennial,Asteraceae,ENH2_6
intact,Intact1,1,Artemisia californica,shrub,native,perennial,Asteraceae,Intact1_1
intact,Intact1,1,Artemisia californica,shrub,native,perennial,Asteraceae,Intact1_1
intact,Intact3,3,Artemisia californica,shrub,native,perennial,Asteraceae,Intact3_3
intact,Intact2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact2_2
intact,Intact2,2,Artemisia californica,shrub,native,perennial,Asteraceae,Intact2_2
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
degraded,DEG1,1,Avena barbata,grass,nonnative,annual,Poaceae,DEG1_1
