"","standtype","site","rep","species","lifeform","status","lifecycle","family","site_rep","site_rep_species","count_per_transect","percentcover_native","native_fern","native_forb","native_grass","native_shrub","nonnative_fern","nonnative_forb","nonnative_grass","nonnative_shrub","percentcover_nonnative"
"1","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"2","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"3","degraded","DEG1",1,"Lupinus spp.","herb","native","annual","Fabaceae","DEG1_1","DEG1_1_Lupinus spp.",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"4","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"5","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"6","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"7","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"8","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"9","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"10","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"11","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"12","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"13","degraded","DEG1",1,"Bromus rubens","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Bromus rubens",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"14","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"15","degraded","DEG1",1,"Hirschfeldia incana","herb","nonnative","annual","Brassicaceae","DEG1_1","DEG1_1_Hirschfeldia incana",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"16","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
"17","degraded","DEG1",1,"Avena barbata","grass","nonnative","annual","Poaceae","DEG1_1","DEG1_1_Avena barbata",19,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0,1
