"","standtype","lifeform","status","site","rep","site_rep","count_per_transect","percentcover"
"1","intact","fern","native","Intact_1",1,"Intact_1_1",1,0.024390243902439
"2","intact","grass","native","Intact_1",1,"Intact_1_1",22,0.536585365853659
"3","intact","grass","native","Intact_2",2,"Intact_2_2",18,0.439024390243902
"4","intact","grass","native","Intact_3",3,"Intact_3_3",30,0.731707317073171
"5","intact","grass","nonnative","Intact_1",1,"Intact_1_1",10,0.24390243902439
"6","intact","grass","nonnative","Intact_2",2,"Intact_2_2",3,0.0731707317073171
"7","intact","grass","nonnative","Intact_3",3,"Intact_3_3",5,0.121951219512195
"8","intact","herb","native","Intact_1",1,"Intact_1_1",2,0.048780487804878
"9","intact","herb","native","Intact_2",2,"Intact_2_2",6,0.146341463414634
"10","intact","herb","nonnative","Intact_1",1,"Intact_1_1",1,0.024390243902439
"11","intact","shrub","native","Intact_1",1,"Intact_1_1",29,0.707317073170732
"12","intact","shrub","native","Intact_2",2,"Intact_2_2",29,0.707317073170732
"13","intact","shrub","native","Intact_3",3,"Intact_3_3",39,0.951219512195122
"14","matrix","grass","native","ENH1",1,"ENH1_1",1,0.024390243902439
"15","matrix","grass","native","ENH1",2,"ENH1_2",13,0.317073170731707
"16","matrix","grass","native","ENH1",3,"ENH1_3",7,0.170731707317073
"17","matrix","grass","nonnative","ENH1",1,"ENH1_1",31,0.75609756097561
"18","matrix","grass","nonnative","ENH1",2,"ENH1_2",27,0.658536585365854
"19","matrix","grass","nonnative","ENH1",3,"ENH1_3",19,0.463414634146341
"20","matrix","grass","nonnative","ENH2",4,"ENH2_4",36,0.878048780487805
"21","matrix","grass","nonnative","ENH2",5,"ENH2_5",34,0.829268292682927
"22","matrix","grass","nonnative","ENH2",6,"ENH2_6",34,0.829268292682927
"23","matrix","herb","native","ENH1",1,"ENH1_1",5,0.121951219512195
"24","matrix","herb","native","ENH1",2,"ENH1_2",6,0.146341463414634
"25","matrix","herb","native","ENH1",3,"ENH1_3",4,0.0975609756097561
"26","matrix","herb","native","ENH2",4,"ENH2_4",3,0.0731707317073171
"27","matrix","herb","native","ENH2",5,"ENH2_5",1,0.024390243902439
"28","matrix","herb","nonnative","ENH1",1,"ENH1_1",12,0.292682926829268
"29","matrix","herb","nonnative","ENH1",2,"ENH1_2",9,0.219512195121951
"30","matrix","herb","nonnative","ENH1",3,"ENH1_3",15,0.365853658536585
"31","matrix","herb","nonnative","ENH2",4,"ENH2_4",1,0.024390243902439
"32","matrix","herb","nonnative","ENH2",5,"ENH2_5",6,0.146341463414634
"33","matrix","herb","nonnative","ENH2",6,"ENH2_6",1,0.024390243902439
"34","matrix","shrub","native","ENH1",1,"ENH1_1",22,0.536585365853659
"35","matrix","shrub","native","ENH1",2,"ENH1_2",24,0.585365853658537
"36","matrix","shrub","native","ENH1",3,"ENH1_3",33,0.804878048780488
"37","matrix","shrub","native","ENH2",4,"ENH2_4",17,0.414634146341463
"38","matrix","shrub","native","ENH2",5,"ENH2_5",12,0.292682926829268
"39","matrix","shrub","native","ENH2",6,"ENH2_6",19,0.463414634146341
"40","degraded","grass","native","DEG2",6,"DEG2_6",2,0.048780487804878
"41","degraded","grass","nonnative","DEG1",1,"DEG1_1",41,1
"42","degraded","grass","nonnative","DEG1",2,"DEG1_2",37,0.902439024390244
"43","degraded","grass","nonnative","DEG1",3,"DEG1_3",40,0.975609756097561
"44","degraded","grass","nonnative","DEG2",4,"DEG2_4",40,0.975609756097561
"45","degraded","grass","nonnative","DEG2",5,"DEG2_5",40,0.975609756097561
"46","degraded","grass","nonnative","DEG2",6,"DEG2_6",37,0.902439024390244
"47","degraded","herb","native","DEG1",1,"DEG1_1",4,0.0975609756097561
"48","degraded","herb","native","DEG1",2,"DEG1_2",2,0.048780487804878
"49","degraded","herb","native","DEG2",5,"DEG2_5",1,0.024390243902439
"50","degraded","herb","native","DEG2",6,"DEG2_6",2,0.048780487804878
"51","degraded","herb","nonnative","DEG1",1,"DEG1_1",33,0.804878048780488
"52","degraded","herb","nonnative","DEG1",2,"DEG1_2",25,0.609756097560976
"53","degraded","herb","nonnative","DEG1",3,"DEG1_3",12,0.292682926829268
"54","degraded","herb","nonnative","DEG2",4,"DEG2_4",14,0.341463414634146
"55","degraded","herb","nonnative","DEG2",5,"DEG2_5",24,0.585365853658537
"56","degraded","herb","nonnative","DEG2",6,"DEG2_6",19,0.463414634146341
"57","degraded","shrub","native","DEG1",1,"DEG1_1",16,0.390243902439024
"58","degraded","shrub","native","DEG1",2,"DEG1_2",16,0.390243902439024
"59","degraded","shrub","native","DEG1",3,"DEG1_3",8,0.195121951219512
"60","degraded","shrub","native","DEG2",4,"DEG2_4",11,0.268292682926829
"61","degraded","shrub","native","DEG2",5,"DEG2_5",9,0.219512195121951
"62","degraded","shrub","native","DEG2",6,"DEG2_6",7,0.170731707317073
