"","standtype","rep","site","status","lifeform","family","species","lifespan","site_rep","site_rep_species"
"1","degraded",1,"DEG1","native","herb","Fabaceae","Acmispon maritimus","annual","DEG1_1","DEG1_1_Acmispon maritimus"
"2","degraded",4,"DEG2","native","herb","Fabaceae","Acmispon maritimus","annual","DEG2_4","DEG2_4_Acmispon maritimus"
"3","degraded",6,"DEG2","native","herb","Fabaceae","Acmispon maritimus","annual","DEG2_6","DEG2_6_Acmispon maritimus"
"4","intact",1,"Intact1","native","fern","Pteridaceae","Adiantum capillus-veneris","perennial","Intact1_1","Intact1_1_Adiantum capillus-veneris"
"5","degraded",1,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial","DEG1_1","DEG1_1_Artemisia californica"
"6","degraded",1,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial","DEG1_1","DEG1_1_Artemisia californica"
"7","degraded",1,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial","DEG1_1","DEG1_1_Artemisia californica"
"8","degraded",2,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial","DEG1_2","DEG1_2_Artemisia californica"
"9","degraded",2,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial","DEG1_2","DEG1_2_Artemisia californica"
"10","degraded",3,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial","DEG1_3","DEG1_3_Artemisia californica"
"11","degraded",3,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial","DEG1_3","DEG1_3_Artemisia californica"
"12","degraded",3,"DEG1","native","shrub","Asteraceae","Artemisia californica","perennial","DEG1_3","DEG1_3_Artemisia californica"
"13","degraded",6,"DEG2","native","shrub","Asteraceae","Artemisia californica","perennial","DEG2_6","DEG2_6_Artemisia californica"
"14","matrix",1,"ENH1","native","shrub","Asteraceae","Artemisia californica","perennial","ENH1_1","ENH1_1_Artemisia californica"
"15","matrix",2,"ENH1","native","shrub","Asteraceae","Artemisia californica","perennial","ENH1_2","ENH1_2_Artemisia californica"
"16","matrix",2,"ENH1","native","shrub","Asteraceae","Artemisia californica","perennial","ENH1_2","ENH1_2_Artemisia californica"
"17","matrix",3,"ENH1","native","shrub","Asteraceae","Artemisia californica","perennial","ENH1_3","ENH1_3_Artemisia californica"
"18","intact",1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial","Intact1_1","Intact1_1_Artemisia californica"
"19","intact",1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial","Intact1_1","Intact1_1_Artemisia californica"
"20","intact",1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial","Intact1_1","Intact1_1_Artemisia californica"
"21","intact",1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial","Intact1_1","Intact1_1_Artemisia californica"
"22","intact",1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial","Intact1_1","Intact1_1_Artemisia californica"
"23","intact",1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial","Intact1_1","Intact1_1_Artemisia californica"
"24","intact",1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial","Intact1_1","Intact1_1_Artemisia californica"
"25","intact",1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial","Intact1_1","Intact1_1_Artemisia californica"
"26","intact",1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial","Intact1_1","Intact1_1_Artemisia californica"
"27","intact",1,"Intact1","native","shrub","Asteraceae","Artemisia californica","perennial","Intact1_1","Intact1_1_Artemisia californica"
"28","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"29","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"30","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"31","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"32","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"33","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"34","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"35","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"36","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
"37","intact",2,"Intact2","native","shrub","Asteraceae","Artemisia californica","perennial","Intact2_2","Intact2_2_Artemisia californica"
