"","stand_core_depth_treat","germination_n_per_tray","stand","site","soilcore","depth_name","treatment","stand_core","stand_core_depth","nonnative_grass","native_shrub","subsample_g","seeds_per_g","seeds_per_g_log"
"1","DEG1_1_deep_charate",11,"degraded","DEG1","1","deep","charate","DEG1_1","DEG1_1_deep",0.959349593,0.325203252,506.94,0.0216988203732197,-3.83049738059444
"2","DEG1_1_deep_control",9,"degraded","DEG1","1","deep","control","DEG1_1","DEG1_1_deep",0.959349593,0.325203252,506.94,0.0177535803053616,-4.03116807605659
"3","DEG1_1_deep_oven",15,"degraded","DEG1","1","deep","oven","DEG1_1","DEG1_1_deep",0.959349593,0.325203252,506.94,0.029589300508936,-3.5203424522906
"4","DEG1_1_deep_ovenchar",6,"degraded","DEG1","1","deep","ovenchar","DEG1_1","DEG1_1_deep",0.959349593,0.325203252,506.94,0.0118357202035744,-4.43663318416475
"5","DEG1_1_surface_charate",9,"degraded","DEG1","1","surface","charate","DEG1_1","DEG1_1_surface",0.959349593,0.325203252,506.94,0.0177535803053616,-4.03116807605659
"6","DEG1_1_surface_control",8,"degraded","DEG1","1","surface","control","DEG1_1","DEG1_1_surface",0.959349593,0.325203252,506.94,0.0157809602714325,-4.14895111171297
"7","DEG1_1_surface_oven",4,"degraded","DEG1","1","surface","oven","DEG1_1","DEG1_1_surface",0.959349593,0.325203252,506.94,0.00789048013571626,-4.84209829227292
"8","DEG1_1_surface_ovenchar",13,"degraded","DEG1","1","surface","ovenchar","DEG1_1","DEG1_1_surface",0.959349593,0.325203252,506.94,0.0256440604410778,-3.66344329593127
"9","DEG1_2_deep_charate",5,"degraded","DEG1","2","deep","charate","DEG1_2","DEG1_2_deep",0.959349593,0.325203252,506.94,0.00986310016964532,-4.61895474095871
"10","DEG1_2_deep_control",8,"degraded","DEG1","2","deep","control","DEG1_2","DEG1_2_deep",0.959349593,0.325203252,506.94,0.0157809602714325,-4.14895111171297
"11","DEG1_2_deep_oven",3,"degraded","DEG1","2","deep","oven","DEG1_2","DEG1_2_deep",0.959349593,0.325203252,506.94,0.00591786010178719,-5.1297803647247
"12","DEG1_2_deep_ovenchar",5,"degraded","DEG1","2","deep","ovenchar","DEG1_2","DEG1_2_deep",0.959349593,0.325203252,506.94,0.00986310016964532,-4.61895474095871
"13","DEG1_2_surface_charate",8,"degraded","DEG1","2","surface","charate","DEG1_2","DEG1_2_surface",0.959349593,0.325203252,506.94,0.0157809602714325,-4.14895111171297
"14","DEG1_2_surface_control",5,"degraded","DEG1","2","surface","control","DEG1_2","DEG1_2_surface",0.959349593,0.325203252,506.94,0.00986310016964532,-4.61895474095871
"15","DEG1_2_surface_oven",10,"degraded","DEG1","2","surface","oven","DEG1_2","DEG1_2_surface",0.959349593,0.325203252,506.94,0.0197262003392906,-3.92580756039876
"16","DEG1_2_surface_ovenchar",11,"degraded","DEG1","2","surface","ovenchar","DEG1_2","DEG1_2_surface",0.959349593,0.325203252,506.94,0.0216988203732197,-3.83049738059444
"17","DEG1_3_deep_charate",3,"degraded","DEG1","3","deep","charate","DEG1_3","DEG1_3_deep",0.959349593,0.325203252,506.94,0.00591786010178719,-5.1297803647247
"18","DEG1_3_deep_control",3,"degraded","DEG1","3","deep","control","DEG1_3","DEG1_3_deep",0.959349593,0.325203252,506.94,0.00591786010178719,-5.1297803647247
"19","DEG1_3_deep_oven",8,"degraded","DEG1","3","deep","oven","DEG1_3","DEG1_3_deep",0.959349593,0.325203252,506.94,0.0157809602714325,-4.14895111171297
"20","DEG1_3_deep_ovenchar",4,"degraded","DEG1","3","deep","ovenchar","DEG1_3","DEG1_3_deep",0.959349593,0.325203252,506.94,0.00789048013571626,-4.84209829227292
"21","DEG1_3_surface_charate",3,"degraded","DEG1","3","surface","charate","DEG1_3","DEG1_3_surface",0.959349593,0.325203252,506.94,0.00591786010178719,-5.1297803647247
"22","DEG1_3_surface_control",10,"degraded","DEG1","3","surface","control","DEG1_3","DEG1_3_surface",0.959349593,0.325203252,506.94,0.0197262003392906,-3.92580756039876
"23","DEG1_3_surface_oven",4,"degraded","DEG1","3","surface","oven","DEG1_3","DEG1_3_surface",0.959349593,0.325203252,506.94,0.00789048013571626,-4.84209829227292
"24","DEG1_3_surface_ovenchar",15,"degraded","DEG1","3","surface","ovenchar","DEG1_3","DEG1_3_surface",0.959349593,0.325203252,506.94,0.029589300508936,-3.5203424522906
"25","DEG1_4_deep_charate",4,"degraded","DEG1","4","deep","charate","DEG1_4","DEG1_4_deep",0.959349593,0.325203252,506.94,0.00789048013571626,-4.84209829227292
"26","DEG1_4_deep_control",4,"degraded","DEG1","4","deep","control","DEG1_4","DEG1_4_deep",0.959349593,0.325203252,506.94,0.00789048013571626,-4.84209829227292
"27","DEG1_4_deep_oven",7,"degraded","DEG1","4","deep","oven","DEG1_4","DEG1_4_deep",0.959349593,0.325203252,506.94,0.0138083402375035,-4.2824825043375
"28","DEG1_4_deep_ovenchar",4,"degraded","DEG1","4","deep","ovenchar","DEG1_4","DEG1_4_deep",0.959349593,0.325203252,506.94,0.00789048013571626,-4.84209829227292
"29","DEG1_4_surface_charate",11,"degraded","DEG1","4","surface","charate","DEG1_4","DEG1_4_surface",0.959349593,0.325203252,506.94,0.0216988203732197,-3.83049738059444
"30","DEG1_4_surface_control",14,"degraded","DEG1","4","surface","control","DEG1_4","DEG1_4_surface",0.959349593,0.325203252,506.94,0.0276166804750069,-3.58933532377755
"31","DEG1_4_surface_oven",11,"degraded","DEG1","4","surface","oven","DEG1_4","DEG1_4_surface",0.959349593,0.325203252,506.94,0.0216988203732197,-3.83049738059444
"32","DEG1_4_surface_ovenchar",13,"degraded","DEG1","4","surface","ovenchar","DEG1_4","DEG1_4_surface",0.959349593,0.325203252,506.94,0.0256440604410778,-3.66344329593127
"33","DEG2_5_deep_charate",9,"degraded","DEG2","5","deep","charate","DEG2_5","DEG2_5_deep",0.951219512,0.219512195,506.94,0.0177535803053616,-4.03116807605659
"34","DEG2_5_deep_control",10,"degraded","DEG2","5","deep","control","DEG2_5","DEG2_5_deep",0.951219512,0.219512195,506.94,0.0197262003392906,-3.92580756039876
"35","DEG2_5_deep_oven",16,"degraded","DEG2","5","deep","oven","DEG2_5","DEG2_5_deep",0.951219512,0.219512195,506.94,0.031561920542865,-3.45580393115303
"36","DEG2_5_deep_ovenchar",11,"degraded","DEG2","5","deep","ovenchar","DEG2_5","DEG2_5_deep",0.951219512,0.219512195,506.94,0.0216988203732197,-3.83049738059444
"37","DEG2_5_surface_charate",9,"degraded","DEG2","5","surface","charate","DEG2_5","DEG2_5_surface",0.951219512,0.219512195,506.94,0.0177535803053616,-4.03116807605659
"38","DEG2_5_surface_control",7,"degraded","DEG2","5","surface","control","DEG2_5","DEG2_5_surface",0.951219512,0.219512195,506.94,0.0138083402375035,-4.2824825043375
"39","DEG2_5_surface_oven",14,"degraded","DEG2","5","surface","oven","DEG2_5","DEG2_5_surface",0.951219512,0.219512195,506.94,0.0276166804750069,-3.58933532377755
"40","DEG2_5_surface_ovenchar",9,"degraded","DEG2","5","surface","ovenchar","DEG2_5","DEG2_5_surface",0.951219512,0.219512195,506.94,0.0177535803053616,-4.03116807605659
"41","DEG2_6_deep_charate",2,"degraded","DEG2","6","deep","charate","DEG2_6","DEG2_6_deep",0.951219512,0.219512195,506.94,0.00394524006785813,-5.53524547283286
"42","DEG2_6_deep_control",3,"degraded","DEG2","6","deep","control","DEG2_6","DEG2_6_deep",0.951219512,0.219512195,506.94,0.00591786010178719,-5.1297803647247
"43","DEG2_6_deep_oven",6,"degraded","DEG2","6","deep","oven","DEG2_6","DEG2_6_deep",0.951219512,0.219512195,506.94,0.0118357202035744,-4.43663318416475
"44","DEG2_6_deep_ovenchar",13,"degraded","DEG2","6","deep","ovenchar","DEG2_6","DEG2_6_deep",0.951219512,0.219512195,506.94,0.0256440604410778,-3.66344329593127
"45","DEG2_6_surface_charate",3,"degraded","DEG2","6","surface","charate","DEG2_6","DEG2_6_surface",0.951219512,0.219512195,506.94,0.00591786010178719,-5.1297803647247
"46","DEG2_6_surface_control",3,"degraded","DEG2","6","surface","control","DEG2_6","DEG2_6_surface",0.951219512,0.219512195,506.94,0.00591786010178719,-5.1297803647247
"47","DEG2_6_surface_oven",6,"degraded","DEG2","6","surface","oven","DEG2_6","DEG2_6_surface",0.951219512,0.219512195,506.94,0.0118357202035744,-4.43663318416475
"48","DEG2_6_surface_ovenchar",3,"degraded","DEG2","6","surface","ovenchar","DEG2_6","DEG2_6_surface",0.951219512,0.219512195,506.94,0.00591786010178719,-5.1297803647247
"49","DEG2_7_deep_charate",2,"degraded","DEG2","7","deep","charate","DEG2_7","DEG2_7_deep",0.951219512,0.219512195,506.94,0.00394524006785813,-5.53524547283286
"50","DEG2_7_deep_control",3,"degraded","DEG2","7","deep","control","DEG2_7","DEG2_7_deep",0.951219512,0.219512195,506.94,0.00591786010178719,-5.1297803647247
"51","DEG2_7_deep_oven",2,"degraded","DEG2","7","deep","oven","DEG2_7","DEG2_7_deep",0.951219512,0.219512195,506.94,0.00394524006785813,-5.53524547283286
"52","DEG2_7_deep_ovenchar",3,"degraded","DEG2","7","deep","ovenchar","DEG2_7","DEG2_7_deep",0.951219512,0.219512195,506.94,0.00591786010178719,-5.1297803647247
"53","DEG2_7_surface_charate",2,"degraded","DEG2","7","surface","charate","DEG2_7","DEG2_7_surface",0.951219512,0.219512195,506.94,0.00394524006785813,-5.53524547283286
"54","DEG2_7_surface_control",1,"degraded","DEG2","7","surface","control","DEG2_7","DEG2_7_surface",0.951219512,0.219512195,506.94,0.00197262003392906,-6.22839265339281
"55","DEG2_7_surface_oven",4,"degraded","DEG2","7","surface","oven","DEG2_7","DEG2_7_surface",0.951219512,0.219512195,506.94,0.00789048013571626,-4.84209829227292
"56","DEG2_7_surface_ovenchar",7,"degraded","DEG2","7","surface","ovenchar","DEG2_7","DEG2_7_surface",0.951219512,0.219512195,506.94,0.0138083402375035,-4.2824825043375
"57","ENH1_1_deep_charate",9,"enhanced","ENH1","1","deep","charate","ENH1_1","ENH1_1_deep",0.62601626,0.642276423,347,0.0259365994236311,-3.65210020261064
"58","ENH1_1_deep_control",11,"enhanced","ENH1","1","deep","control","ENH1_1","ENH1_1_deep",0.62601626,0.642276423,347,0.031700288184438,-3.45142950714849
"59","ENH1_1_deep_oven",11,"enhanced","ENH1","1","deep","oven","ENH1_1","ENH1_1_deep",0.62601626,0.642276423,347,0.031700288184438,-3.45142950714849
"60","ENH1_1_deep_ovenchar",11,"enhanced","ENH1","1","deep","ovenchar","ENH1_1","ENH1_1_deep",0.62601626,0.642276423,347,0.031700288184438,-3.45142950714849
"61","ENH1_1_surface_charate",42,"enhanced","ENH1","1","surface","charate","ENH1_1","ENH1_1_surface",0.62601626,0.642276423,347,0.121037463976945,-2.11165516166349
"62","ENH1_1_surface_control",53,"enhanced","ENH1","1","surface","control","ENH1_1","ENH1_1_surface",0.62601626,0.642276423,347,0.152737752161383,-1.87903286639474
"63","ENH1_1_surface_oven",48,"enhanced","ENH1","1","surface","oven","ENH1_1","ENH1_1_surface",0.62601626,0.642276423,347,0.138328530259366,-1.97812376903897
"64","ENH1_1_surface_ovenchar",95,"enhanced","ENH1","1","surface","ovenchar","ENH1_1","ENH1_1_surface",0.62601626,0.642276423,347,0.273775216138329,-1.29544788834632
"65","ENH1_2_deep_charate",8,"enhanced","ENH1","2","deep","charate","ENH1_2","ENH1_2_deep",0.62601626,0.642276423,347,0.0230547550432277,-3.76988323826702
"66","ENH1_2_deep_control",10,"enhanced","ENH1","2","deep","control","ENH1_2","ENH1_2_deep",0.62601626,0.642276423,347,0.0288184438040346,-3.54673968695281
"67","ENH1_2_deep_oven",8,"enhanced","ENH1","2","deep","oven","ENH1_2","ENH1_2_deep",0.62601626,0.642276423,347,0.0230547550432277,-3.76988323826702
"68","ENH1_2_deep_ovenchar",21,"enhanced","ENH1","2","deep","ovenchar","ENH1_2","ENH1_2_deep",0.62601626,0.642276423,347,0.0605187319884726,-2.80480234222344
"69","ENH1_2_surface_charate",39,"enhanced","ENH1","2","surface","charate","ENH1_2","ENH1_2_surface",0.62601626,0.642276423,347,0.112391930835735,-2.18576313381721
"70","ENH1_2_surface_control",54,"enhanced","ENH1","2","surface","control","ENH1_2","ENH1_2_surface",0.62601626,0.642276423,347,0.155619596541787,-1.86034073338258
"71","ENH1_2_surface_oven",34,"enhanced","ENH1","2","surface","oven","ENH1_2","ENH1_2_surface",0.62601626,0.642276423,347,0.0979827089337176,-2.3229642553307
"72","ENH1_2_surface_ovenchar",53,"enhanced","ENH1","2","surface","ovenchar","ENH1_2","ENH1_2_surface",0.62601626,0.642276423,347,0.152737752161383,-1.87903286639474
"73","ENH1_3_deep_charate",7,"enhanced","ENH1","3","deep","charate","ENH1_3","ENH1_3_deep",0.62601626,0.642276423,347,0.0201729106628242,-3.90341463089155
"74","ENH1_3_deep_control",8,"enhanced","ENH1","3","deep","control","ENH1_3","ENH1_3_deep",0.62601626,0.642276423,347,0.0230547550432277,-3.76988323826702
"75","ENH1_3_deep_oven",8,"enhanced","ENH1","3","deep","oven","ENH1_3","ENH1_3_deep",0.62601626,0.642276423,347,0.0230547550432277,-3.76988323826702
"76","ENH1_3_deep_ovenchar",4,"enhanced","ENH1","3","deep","ovenchar","ENH1_3","ENH1_3_deep",0.62601626,0.642276423,347,0.0115273775216138,-4.46303041882697
"77","ENH1_3_surface_charate",28,"enhanced","ENH1","3","surface","charate","ENH1_3","ENH1_3_surface",0.62601626,0.642276423,347,0.0806916426512968,-2.51712026977166
"78","ENH1_3_surface_control",36,"enhanced","ENH1","3","surface","control","ENH1_3","ENH1_3_surface",0.62601626,0.642276423,347,0.103746397694524,-2.26580584149075
"79","ENH1_3_surface_oven",27,"enhanced","ENH1","3","surface","oven","ENH1_3","ENH1_3_surface",0.62601626,0.642276423,347,0.0778097982708934,-2.55348791394253
"80","ENH1_3_surface_ovenchar",51,"enhanced","ENH1","3","surface","ovenchar","ENH1_3","ENH1_3_surface",0.62601626,0.642276423,347,0.146974063400576,-1.91749914722253
"81","ENH1_4_deep_charate",6,"enhanced","ENH1","4","deep","charate","ENH1_4","ENH1_4_deep",0.62601626,0.642276423,347,0.0172910662824208,-4.0575653107188
"82","ENH1_4_deep_control",8,"enhanced","ENH1","4","deep","control","ENH1_4","ENH1_4_deep",0.62601626,0.642276423,347,0.0230547550432277,-3.76988323826702
"83","ENH1_4_deep_oven",8,"enhanced","ENH1","4","deep","oven","ENH1_4","ENH1_4_deep",0.62601626,0.642276423,347,0.0230547550432277,-3.76988323826702
"84","ENH1_4_deep_ovenchar",6,"enhanced","ENH1","4","deep","ovenchar","ENH1_4","ENH1_4_deep",0.62601626,0.642276423,347,0.0172910662824208,-4.0575653107188
"85","ENH1_4_surface_charate",32,"enhanced","ENH1","4","surface","charate","ENH1_4","ENH1_4_surface",0.62601626,0.642276423,347,0.0922190201729107,-2.38358887714713
"86","ENH1_4_surface_control",32,"enhanced","ENH1","4","surface","control","ENH1_4","ENH1_4_surface",0.62601626,0.642276423,347,0.0922190201729107,-2.38358887714713
"87","ENH1_4_surface_oven",37,"enhanced","ENH1","4","surface","oven","ENH1_4","ENH1_4_surface",0.62601626,0.642276423,347,0.106628242074928,-2.23840686730263
"88","ENH1_4_surface_ovenchar",40,"enhanced","ENH1","4","surface","ovenchar","ENH1_4","ENH1_4_surface",0.62601626,0.642276423,347,0.115273775216138,-2.16044532583292
"89","ENH1_5_deep_charate",5,"enhanced","ENH1","5","deep","charate","ENH1_5","ENH1_5_deep",0.62601626,0.642276423,347,0.0144092219020173,-4.23988686751276
"90","ENH1_5_deep_control",4,"enhanced","ENH1","5","deep","control","ENH1_5","ENH1_5_deep",0.62601626,0.642276423,347,0.0115273775216138,-4.46303041882697
"91","ENH1_5_deep_ovenchar",5,"enhanced","ENH1","5","deep","ovenchar","ENH1_5","ENH1_5_deep",0.62601626,0.642276423,347,0.0144092219020173,-4.23988686751276
"92","ENH1_5_surface_charate",24,"enhanced","ENH1","5","surface","charate","ENH1_5","ENH1_5_surface",0.62601626,0.642276423,347,0.069164265129683,-2.67127094959891
"93","ENH1_5_surface_control",19,"enhanced","ENH1","5","surface","control","ENH1_5","ENH1_5_surface",0.62601626,0.642276423,347,0.0547550432276657,-2.90488580078042
"94","ENH1_5_surface_oven",28,"enhanced","ENH1","5","surface","oven","ENH1_5","ENH1_5_surface",0.62601626,0.642276423,347,0.0806916426512968,-2.51712026977166
"95","ENH1_5_surface_ovenchar",33,"enhanced","ENH1","5","surface","ovenchar","ENH1_5","ENH1_5_surface",0.62601626,0.642276423,347,0.0951008645533141,-2.35281721848038
"96","ENH2_10_deep_charate",4,"enhanced","ENH2","10","deep","charate","ENH2_10","ENH2_10_deep",0.845528455,0.390243902,347,0.0115273775216138,-4.46303041882697
"97","ENH2_10_deep_control",2,"enhanced","ENH2","10","deep","control","ENH2_10","ENH2_10_deep",0.845528455,0.390243902,347,0.00576368876080692,-5.15617759938691
"98","ENH2_10_deep_oven",7,"enhanced","ENH2","10","deep","oven","ENH2_10","ENH2_10_deep",0.845528455,0.390243902,347,0.0201729106628242,-3.90341463089155
"99","ENH2_10_deep_ovenchar",9,"enhanced","ENH2","10","deep","ovenchar","ENH2_10","ENH2_10_deep",0.845528455,0.390243902,347,0.0259365994236311,-3.65210020261064
"100","ENH2_10_surface_charate",56,"enhanced","ENH2","10","surface","charate","ENH2_10","ENH2_10_surface",0.845528455,0.390243902,347,0.161383285302594,-1.82397308921171
"101","ENH2_10_surface_control",82,"enhanced","ENH2","10","surface","control","ENH2_10","ENH2_10_surface",0.845528455,0.390243902,347,0.236311239193084,-1.44260553268261
"102","ENH2_10_surface_oven",103,"enhanced","ENH2","10","surface","oven","ENH2_10","ENH2_10_surface",0.845528455,0.390243902,347,0.296829971181556,-1.21459579171722
"103","ENH2_10_surface_ovenchar",117,"enhanced","ENH2","10","surface","ovenchar","ENH2_10","ENH2_10_surface",0.845528455,0.390243902,347,0.337175792507205,-1.0871508451491
"104","ENH2_6_deep_charate",1,"enhanced","ENH2","6","deep","charate","ENH2_6","ENH2_6_deep",0.845528455,0.390243902,347,0.00288184438040346,-5.84932477994686
"105","ENH2_6_deep_control",5,"enhanced","ENH2","6","deep","control","ENH2_6","ENH2_6_deep",0.845528455,0.390243902,347,0.0144092219020173,-4.23988686751276
"106","ENH2_6_deep_oven",4,"enhanced","ENH2","6","deep","oven","ENH2_6","ENH2_6_deep",0.845528455,0.390243902,347,0.0115273775216138,-4.46303041882697
"107","ENH2_6_deep_ovenchar",3,"enhanced","ENH2","6","deep","ovenchar","ENH2_6","ENH2_6_deep",0.845528455,0.390243902,347,0.00864553314121038,-4.75071249127875
"108","ENH2_6_surface_charate",20,"enhanced","ENH2","6","surface","charate","ENH2_6","ENH2_6_surface",0.845528455,0.390243902,347,0.0576368876080692,-2.85359250639287
"109","ENH2_6_surface_control",25,"enhanced","ENH2","6","surface","control","ENH2_6","ENH2_6_surface",0.845528455,0.390243902,347,0.0720461095100865,-2.63044895507866
"110","ENH2_6_surface_oven",31,"enhanced","ENH2","6","surface","oven","ENH2_6","ENH2_6_surface",0.845528455,0.390243902,347,0.0893371757925072,-2.41533757546171
"111","ENH2_6_surface_ovenchar",37,"enhanced","ENH2","6","surface","ovenchar","ENH2_6","ENH2_6_surface",0.845528455,0.390243902,347,0.106628242074928,-2.23840686730263
"112","ENH2_7_deep_charate",2,"enhanced","ENH2","7","deep","charate","ENH2_7","ENH2_7_deep",0.845528455,0.390243902,347,0.00576368876080692,-5.15617759938691
