"","species","NMDS1","NMDS2","pvals"
"1","Acmispon glaber_ab",-0.321843413356974,0.559695564116609,0.139
"2","Acmispon maritimus_ab",-0.323821866364798,-0.558396794330224,0.273
"3","Apiastrum angustifolium_ab",0.47119690190571,-0.00127103214241216,1
"4","Artemisia californica_ab",0.197747079737651,-0.0361404906845151,0.997
"5","Avena barbata_ab",-0.743331050175318,-0.615176459555929,0.005
"6","Baccharis pilularis_ab",-0.3214064112601,0.55963287677624,0.57
"7","Bromus spp._ab",-0.987062348942274,-0.098384546083151,0.011
"8","Calochortus clavatus_ab",-0.3214064112601,0.55963287677624,0.57
"9","Carduus pycnocephalus_ab",0.471614099973477,-0.00109523281123111,0.702
"10","Centaurea melitensis_ab",-0.370830050147474,0.645591696322821,0.104
"11","Claytonia perfoliata_ab",-0.3214064112601,0.55963287677624,0.57
"12","Dipterostemon capitatus_ab",-0.381208765892355,0.432637829404335,0.477
"13","Elymus condensatus dead_ab",0.0816448830112099,0.420164343568949,0.905
"14","Elymus condensatus_ab",-0.31102148699525,0.427425558852172,0.749
"15","Eriodictyon crassifolium_ab",-0.3214064112601,0.55963287677624,0.57
"16","Erodium spp._ab",-0.545776855438701,-0.644632485553657,0.007
"17","Galium porrigens_ab",0.495957450630914,0.284777153842314,0.29
"18","Heteromeles arbutifolia dead_ab",0.667774515738216,-0.00149670190142575,0.194
"19","Heteromeles arbutifolia_ab",0.884687454814223,-0.00186958181537137,0.104
"20","Hirschfeldia incana_ab",-0.567412893212122,-0.801098626134515,0.009
"21","Lupinus spp._ab",-0.571095541809479,-0.703821101481473,0.021
"22","Malacothamnus fasciculatus dead_ab",-0.628584528251978,0.728875307800163,0.005
"23","Malacothamnus fasciculatus_ab",-0.601266306246788,0.717873250988709,0.042
"24","Marah macrocarpa_ab",-0.3214064112601,0.55963287677624,0.57
"25","Pellaea andromedifolia_ab",0.471614099973477,-0.00109523281123111,0.702
"26","Pseudognaphalium luteoalbum_ab",-0.3214064112601,0.55963287677624,0.57
"27","Rhamnus ilicifolia_ab",0.47119690190571,-0.00127103214241208,1
"28","Rhus ovata_ab",0.443589111751667,0.176462713476047,0.781
"29","Salvia leucophylla dead_ab",0.0799285227598573,-0.420683075889005,0.693
"30","Salvia leucophylla_ab",-0.540908541290502,0.00132324915479121,0.438
"31","Solanum xanti_ab",-0.498259162178742,0.867028082464392,0.104
"32","Stephanomeria virgata_ab",-0.3214064112601,0.55963287677624,0.57
"33","Stipa lepida dead_ab",0.471614099973477,-0.00109523281123111,0.702
"34","Stipa lepida_ab",0.854247414472596,0.245769190861434,0.066
"35","Artemisia californica_dead_dn",0.47119690190571,-0.0012710321424121,1
"36","Artemisia californica_immature_dn",0.842235623573056,0.0244911171521366,0.11
"37","Artemisia californica_mature_dn",0.615720602245884,0.0500805905809595,0.319
"38","Artemisia californica_resprout_dn",0,0,1
"39","Artemisia californica_seedling_dn",0.47119690190571,-0.0012710321424121,1
"40","Baccharis pilularis_dead_dn",0,0,1
"41","Baccharis pilularis_immature_dn",0,0,1
"42","Baccharis pilularis_mature_dn",-0.323821866364798,-0.558396794330223,0.273
"43","Baccharis pilularis_resprout_dn",-0.321406411260099,0.55963287677624,0.57
"44","Baccharis pilularis_seedling_dn",0,0,1
"45","Cenothus oliganthus_dead_dn",0,0,1
"46","Cenothus oliganthus_immature_dn",0.471398864423848,-0.000796333721818168,0.879
"47","Cenothus oliganthus_mature_dn",0.471398864423848,-0.000796333721818168,0.879
"48","Cenothus oliganthus_resprout_dn",0,0,1
"49","Cenothus oliganthus_seedling_dn",0,0,1
"50","Eriodictyon crassifolium_dead_dn",-0.321406411260099,0.55963287677624,0.57
"51","Eriodictyon crassifolium_immature_dn",-0.321406411260099,0.55963287677624,0.57
"52","Eriodictyon crassifolium_mature_dn",-0.321406411260099,0.55963287677624,0.57
"53","Eriodictyon crassifolium_resprout_dn",0,0,1
"54","Eriodictyon crassifolium_seedling_dn",0.344035186561719,0.197933941254399,0.796
"55","Eriogonum fasciculatum_dead_dn",0,0,1
"56","Eriogonum fasciculatum_immature_dn",0,0,1
"57","Eriogonum fasciculatum_mature_dn",-0.323593268142948,-0.558527605106664,0.43
"58","Eriogonum fasciculatum_resprout_dn",0,0,1
"59","Eriogonum fasciculatum_seedling_dn",0,0,1
"60","Heteromeles arbutifolia_dead_dn",0.471614099973477,-0.00109523281123113,0.702
"61","Heteromeles arbutifolia_immature_dn",0.93666538996344,-0.00200832171194281,0.062
"62","Heteromeles arbutifolia_mature_dn",0.977634894320487,-0.00223644329380807,0.016
"63","Heteromeles arbutifolia_resprout_dn",0,0,1
"64","Heteromeles arbutifolia_seedling_dn",0,0,1
"65","Malacothamnus fasciculatus_dead_dn",-0.3214064112601,0.55963287677624,0.57
"66","Malacothamnus fasciculatus_immature_dn",-0.407933265429603,0.532475722003537,0.153
"67","Malacothamnus fasciculatus_mature_dn",-0.504991395833787,0.725603313009561,0.04
"68","Malacothamnus fasciculatus_resprout_dn",-0.321406411260099,0.55963287677624,0.57
"69","Malacothamnus fasciculatus_seedling_dn",0.0540703464503349,0.0932691412763996,0.954
"70","Rhamnus ilicifolia_dead_dn",0,0,1
"71","Rhamnus ilicifolia_immature_dn",0.471614099973477,-0.00109523281123105,0.702
"72","Rhamnus ilicifolia_mature_dn",0.999997405757625,-0.00223629509648483,0.027
"73","Rhamnus ilicifolia_resprout_dn",0.471398864423848,-0.000796333721818168,0.879
"74","Rhamnus ilicifolia_seedling_dn",0,0,1
"75","Rhus ovata_dead_dn",0.471398864423848,-0.000796333721818168,0.879
"76","Rhus ovata_immature_dn",0.174416225385184,0.500081941484178,0.617
"77","Rhus ovata_mature_dn",0.520331029013544,0.0221896522547578,0.684
