"","Acmispon spp.","Apiastrum angustifolium","Artemisia californica","Asclepias fascicularis","Astragalus trichopodus","Avena spp.","Bromus spp.","Calochortus clavatus","Carduus pycnocephalus","Ceanothus oliganthus","Centaurea melitensis","Claytonia spp.","Croton setiger","Cryptantha spp.","Diplacus aurantiacus","Dipterostemon capitatus","Emmenanthe penduliflora","Erigeron canadensis","Eriodictyon crassifolium","Erodium spp.","Eucrypta chrysanthemifolia","Festuca myuros","Fragaria vesca","Galium porrigens","Hirschfeldia incana","Juncus bufonius","Lactuca serriola ","Laennecia coulteri","Logfia filaginoides","Lupinus bicolor ","Madia gracilis","Malacothamnus fasciculatus","Malacothrix saxatilis","Melica imperfecta","Nicotiana glauca","Oxalis corniculata","Phacelia spp.","Polypogon monspeliensis","Pseudognaphalium californicum","Pseudognaphalium luteoalbum","Ribes spp.","Salvia leucophylla","Solanum xanti","Sonchus oleraceus","Stephanomeria virgata","Stipa lepida","Thysanocarpus spp. ","Trifolium spp.","Typha domingensis","Unknown A - shrub","Uropappus lindleyi"
"1",0,3,2,0,7,0,5,0,0,0,0,4,0,0,0,0,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,2,3,1,0,0,1,0,20,0,0,0,5,0
"2",1,11,10,0,2,0,4,0,0,0,0,0,0,2,0,0,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,11,1,7,0,0,1,0,32,0,0,0,0,0
"3",0,14,2,0,0,0,6,0,0,0,0,1,0,2,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,20,1,2,0,1,0,0,5,0,0,0,2,0
"4",0,8,62,0,3,0,10,0,0,0,24,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,20,0,2,0,0,2,0,0,0,2,0,0,0,0,0
"5",0,2,29,0,0,0,17,0,0,0,0,1,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,21,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"6",1,5,19,0,0,0,12,0,1,1,0,1,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,1,0,0,0,1,1,4,3,0,65,0,14,2,0,0,0,0,0,5,0,0,0,0,0
"7",2,0,5,0,1,0,25,0,0,0,0,1,0,0,0,0,0,5,0,0,5,2,0,0,0,0,0,0,0,0,6,1,1,0,1,1,0,16,3,2,0,0,1,0,0,52,0,0,1,0,0
"8",0,1,2,0,2,0,3,0,0,0,0,3,0,0,0,0,5,6,0,0,2,6,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,6,2,1,16,0,0,12,0,0,1,0,0
"9",0,0,2,0,0,0,38,0,0,0,0,0,0,0,0,0,1,7,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3,1,0,3,2,0,0,1,28,0,0,0,0,6
"10",2,0,6,0,0,0,216,1,0,0,7,0,0,0,1,0,0,0,4,0,0,21,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,6,0,0
"11",12,0,0,0,0,0,155,0,0,0,6,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,3,0,0
"12",1,0,2,2,0,0,117,0,0,0,17,0,0,0,0,0,2,0,0,1,0,0,0,0,1,3,0,0,3,0,0,2,0,0,0,0,0,0,0,3,0,1,0,2,0,2,0,0,3,0,7
"13",0,0,3,2,0,0,121,0,0,0,6,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,15,0,0,0,0,1,0,0,2,0,3,0,1,0,1,0,0,2,0,7
"14",1,0,1,0,1,0,85,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0
"15",6,0,2,0,0,44,205,0,0,0,9,0,0,0,0,1,0,0,0,10,0,83,0,0,3,1,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3
"16",4,0,6,0,0,11,63,0,0,0,1,0,0,0,0,2,0,0,0,3,0,10,0,0,8,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
"17",6,0,2,0,0,6,389,0,0,0,35,0,0,0,0,0,0,0,0,2,0,124,0,0,2,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0
"18",0,0,0,0,0,6,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"19",5,0,0,0,0,30,404,3,0,0,15,0,0,0,0,0,0,0,0,5,0,84,0,0,3,0,0,0,0,1,0,11,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,2,0,0
"20",0,0,0,0,1,0,20,0,0,0,0,0,4,0,0,0,2,0,0,7,0,0,0,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2,0,2,0,1,0,32,0,0,0,1,0,2,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"22",6,0,2,0,1,0,7,0,0,0,0,0,3,0,0,0,2,0,0,17,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,1,0,37,0,0,0,1,0,1,0,0,0,0,0,0,18,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"24",60,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"25",18,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"26",4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
