"","Acmispon glaber","Acmispon maritimus","Acmispon spp.","Acmispon strigosus","Apiastrum angustifolium","Artemisia californica","Astragalus trichopodus","Avena barbata","Brassicaceae Family ","Bromus","Bromus diandrus","Bromus hordeaceus","Bromus madritensis","Bromus rubens","Bromus Spp.","Calochortus clavatus","Centaurea melitensis","Croton setiger","Cryptantha spp.","Cryptantha Spp.","Diplacus aurantiacus","Dipterostemon capitatus","Emmenanthe penduliflora","Emmenanthi pendufolum","Erigeron canadensis","Erodium cicutarium","Erodium moschatum","Erodium spp.","Eucrypta chrysanthemifolia","Eucrypta chrysanthifolium","Festuca myuros","Festuca spp.","Fragaria vesca","Galium porrigens","Hirschfeldia incana","Juncus bufonius","Lactuca serriola","Logfia filaginoides","Lupinus bicolor ","Malacothamnus fasciculatus","Nicotiana glauca","Phacelia viscida","Pseudognaphalium luteoalbum","Pseudognaphalium stramineum","Rapistrum rugosum","Salvia leucophylla","Salvia leucophylla ","Sonchus oleraceus","Stipa lepida","Thysanocarpus sp.","Trifolium gracelentum","Trifolium spp.","Trifolium willdenovii","Typha spp. ","unknown","unknown - bright green round leaf","unknown - bright green seedling, small leaves","unknown - dark green monocot","unknown - dinosaur egg","unknown - Eridyctyon? or MAFA?","unknown - gray cotolydon seedling","unknown - green leaf","unknown - light green seedling","unknown - long leaved dicot","unknown - long leaved seedling - could be ACGL or something else","unknown - long leaved seedling, erodium?","unknown - long leaved skinny dicot","unknown - long leaved, skinny bright green - probably not stipa, probably other grasses","unknown - long lstemed dicot","unknown - long skinny seedling, likely non-native grass","unknown - long skinny, bright green leaved seedling","unknown - purple leaf dicot","unknown - red stem","unknown - red stem, hear leaved seedling","unknown - round cotyledons - check pictures","unknown - round leaf - do you think MAFA? need to look at photos","unknown - skinny dicot","unknown - small dicot","unknown - tall seedling (0.5 in tall) with small leaves","unknown - tear drop leaf","unknown 1","unknown 1 - small leaf seedling","Unknown 2","unknown 2 - unknown brown dicot","unknown 3","unknown 4","unknown 5","unknown dicot","unknown succulent seedling","Uropappus lindleyi"
"1",0,0,0,0,0,0,1,0,40,0,0,0,20,0,0,0,0,4,0,0,0,0,2,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,2,0,0,0,2,1,0,4,0,2,0,30,0,0,0,1,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,6,0,0,0,2,1,0,12,0,0,0,7,0,0,0,0,3,0,0,0,0,2,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,1,0,4,0,0,0,37,0,0,0,1,1,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,60,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,18,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,3,0,0,6,0,0,0,0,0,0,1,4,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,3,2,2,0,0,0
"9",1,3,0,0,0,0,0,0,7,0,0,0,155,0,0,0,6,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"10",0,1,0,0,0,1,0,0,0,0,0,18,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,6,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1,0,15,0,0,0,0,0,0,3,1,3,0,0,0,0,2,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
