"","standtype","species","mature","immature","seedling","dead"
"1","intact","Artemisia californica",36,15,1,1
"2","intact","Baccharis pilularis",0,0,0,0
"3","intact","Cenothus oliganthus",1,1,0,0
"4","intact","Eriodictyon crassifolium",0,0,1,0
"5","intact","Eriogonum fasciculatum",0,0,0,0
"6","intact","Heteromeles arbutifolia",23,5,0,20
"7","intact","Malacothamnus fasciculatus",1,0,2,0
"8","intact","Rhamnus ilicifolia",3,2,0,0
"9","intact","Rhus ovata",10,2,1,1
"10","intact","Salvia apiana",0,0,0,0
"11","intact","Salvia leucophylla",27,20,2,0
"12","intact","Sambucus mexicana",0,0,0,0
"13","intact","unknown5 shrub",0,0,0,0
"14","matrix","Artemisia californica",13,3,0,0
"15","matrix","Baccharis pilularis",0,1,0,0
"16","matrix","Cenothus oliganthus",0,0,0,0
"17","matrix","Eriodictyon crassifolium",8,3,1,12
"18","matrix","Eriogonum fasciculatum",0,0,0,0
"19","matrix","Heteromeles arbutifolia",0,0,0,0
"20","matrix","Malacothamnus fasciculatus",222,51,4,244
"21","matrix","Rhamnus ilicifolia",0,0,0,0
"22","matrix","Rhus ovata",1,5,0,0
"23","matrix","Salvia apiana",1,0,0,0
"24","matrix","Salvia leucophylla",51,6,0,0
"25","matrix","Sambucus mexicana",0,1,0,0
"26","matrix","unknown5 shrub",1,0,0,0
"27","degraded","Artemisia californica",7,2,0,0
"28","degraded","Baccharis pilularis",1,0,0,0
"29","degraded","Cenothus oliganthus",0,0,0,0
"30","degraded","Eriodictyon crassifolium",0,0,0,0
"31","degraded","Eriogonum fasciculatum",1,0,0,0
"32","degraded","Heteromeles arbutifolia",0,0,0,0
"33","degraded","Malacothamnus fasciculatus",23,7,3,0
"34","degraded","Rhamnus ilicifolia",0,0,0,0
"35","degraded","Rhus ovata",0,0,0,0
"36","degraded","Salvia apiana",1,0,0,0
"37","degraded","Salvia leucophylla",39,7,0,0
"38","degraded","Sambucus mexicana",0,0,0,0
"39","degraded","unknown5 shrub",0,0,0,0
