"","DEG1_1","DEG1_2","DEG1_3","DEG1_4","DEG2_5","DEG2_6","DEG2_7","ENH1_1","ENH1_2","ENH1_3","ENH1_4","ENH1_5","ENH2_10","ENH2_5","ENH2_6","ENH2_7","ENH2_8","ENH2_9","INT1_1","INT1_2","INT1_3","INT2_4","INT2_5","INT2_6","INT3_7","INT3_8","INT3_9"
"1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
"2",0,2,6,0,60,18,4,1,3,1,0,0,6,1,1,3,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,10,1,5,0,1,0
"6",0,2,2,0,0,0,0,1,0,1,0,0,2,1,4,2,0,0,5,8,2,59,23,19,5,2,2
"7",1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,5,0,0,1,2,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,44,0,11,6,6,30,0,0,0,0,0,0,0,0,0
"9",40,4,12,4,15,3,10,0,7,0,0,0,2,0,8,2,0,2,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"11",0,2,0,0,0,0,0,0,0,0,0,0,14,0,2,0,0,3,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,18,0,0,52,0,3,135,3,140,0,0,0,0,0,0,0,0,0
"13",20,30,7,37,2,8,0,216,155,99,121,35,139,50,58,254,17,261,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,9,17,12,14,3,26
"16",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"17",0,1,0,1,0,0,0,7,6,17,6,5,9,13,1,35,3,15,0,0,0,0,0,0,0,0,0
"18",4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"23",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1
"25",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
