"","stand","site","stand_core","Acmispon spp.","Apiastrum angustifolium","Artemisia californica","Asclepias fascicularis","Astragalus trichopodus","Avena spp.","Bromus spp.","Calochortus clavatus","Carduus pycnocephalus","Ceanothus oliganthus","Centaurea melitensis","Claytonia spp.","Croton setiger","Cryptantha spp.","Diplacus aurantiacus","Dipterostemon capitatus","Emmenanthe penduliflora","Erigeron canadensis","Eriodictyon crassifolium","Erodium spp.","Eucrypta chrysanthemifolia","Festuca myuros","Fragaria vesca","Galium porrigens","Hirschfeldia incana","Juncus bufonius","Lactuca serriola","Laennecia coulteri","Logfia filaginoides","Lupinus bicolor","Madia gracilis","Malacothamnus fasciculatus","Malacothrix saxatilis","Melica imperfecta","Nicotiana glauca","Oxalis corniculata","Phacelia spp.","Polypogon monspeliensis","Pseudognaphalium californicum","Pseudognaphalium luteoalbum","Ribes spp.","Salvia leucophylla","Solanum xanti","Sonchus oleraceus","Stephanomeria virgata","Stipa lepida","Thysanocarpus spp.","Trifolium spp.","Typha domingensis","Unknown A - shrub","Unknown Asteraceae","Unknown G - fuzzy leaf dicot","Unknown Onagraceae","Unknown Phrymaceae  ","Uropappus lindleyi"
"1","degraded","DEG1","DEG1_1",0,0,0,0,0.00197262003392906,0,0.0394524006785813,0,0,0,0,0,0.00789048013571626,0,0,0,0.00394524006785813,0,0,0.0138083402375034,0,0,0,0,0.0789048013571626,0,0,0,0,0,0,0,0,0,0.00197262003392906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","degraded","DEG1","DEG1_2",0.00394524006785813,0,0.00394524006785813,0,0.00197262003392906,0,0.0631238410857301,0,0,0,0.00197262003392906,0,0.00394524006785813,0,0,0,0,0,0,0.0177535803053616,0,0,0,0,0.00789048013571626,0,0,0,0,0,0,0,0,0,0.00197262003392906,0,0,0,0,0.00197262003392906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","degraded","DEG1","DEG1_3",0.0118357202035744,0,0.00394524006785813,0,0.00197262003392906,0,0.0138083402375035,0,0,0,0,0,0.00591786010178719,0,0,0,0.00394524006785813,0,0,0.0335345405767941,0,0,0,0,0.0236714404071488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","degraded","DEG1","DEG1_4",0,0,0,0,0.00197262003392906,0,0.0729869412553754,0,0,0,0.00197262003392906,0,0.00197262003392906,0,0,0,0,0,0,0.0355071606107232,0,0,0,0.00197262003392906,0.00789048013571626,0,0,0,0,0,0,0,0,0,0.00394524006785813,0,0,0,0,0,0,0,0,0,0,0,0,0.00591786010178719,0,0,0,0,0,0,0
"5","degraded","DEG2","DEG2_5",0.118357202035744,0,0,0,0,0,0.00394524006785813,0,0,0,0,0,0,0,0,0,0,0,0,0.00986310016964532,0,0,0.00197262003392906,0,0.029589300508936,0,0,0,0,0,0,0.00197262003392906,0,0,0,0,0,0,0,0.00197262003392906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","degraded","DEG2","DEG2_6",0.0355071606107232,0,0,0,0,0,0.0157809602714325,0,0,0,0,0,0,0,0,0,0,0,0,0.00986310016964532,0.00394524006785813,0,0,0,0.00591786010178719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00591786010178719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","degraded","DEG2","DEG2_7",0.00789048013571626,0,0,0,0,0,0,0,0,0,0,0,0,0.00197262003392906,0,0,0,0.00197262003392906,0,0.00986310016964532,0,0,0,0,0.0197262003392907,0,0,0,0,0,0,0.00197262003392906,0,0,0.00197262003392906,0,0,0,0,0.00197262003392906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","enhanced","ENH1","ENH1_1",0.00576368876080692,0,0.0172910662824208,0,0,0,0.622478386167147,0.00288184438040346,0,0,0.0201729106628242,0,0,0,0.00288184438040346,0,0,0,0.0115273775216138,0,0,0.0605187319884726,0,0,0.00288184438040346,0,0.00288184438040346,0,0,0,0,0.0172910662824208,0,0,0,0,0,0,0,0,0,0.00288184438040346,0,0.0201729106628242,0,0,0,0,0.0172910662824207,0,0,0,0,0,0
"9","enhanced","ENH1","ENH1_2",0.0345821325648415,0,0,0,0,0,0.446685878962536,0,0,0,0.0172910662824207,0,0,0,0,0,0,0,0,0.0547550432276657,0,0,0,0,0.0230547550432277,0,0,0,0,0,0,0.0403458213256484,0,0,0,0,0,0,0,0.00288184438040346,0,0.0259365994236311,0,0,0,0,0,0,0.00864553314121037,0,0,0,0,0,0
"10","enhanced","ENH1","ENH1_3",0.00288184438040346,0,0.00576368876080692,0.00576368876080692,0,0,0.337175792507205,0,0,0,0.0489913544668588,0,0,0,0,0,0.00576368876080692,0,0,0.00288184438040346,0,0,0,0,0.00288184438040346,0.00864553314121038,0,0,0.00864553314121037,0,0,0.00576368876080692,0,0,0,0,0,0,0,0.00864553314121038,0,0.00288184438040346,0,0.00576368876080692,0,0.00576368876080692,0,0,0.00864553314121037,0,0,0,0,0,0.0201729106628242
