"","species_diversity","stand","site","soilcore","depth_name","subsample_cm3","subsample_g","treatment","rep","genus_abundance","lifeform","status","lifescycle","family","count","stand_core","stand_core_depth","stand_core_depth_treat","n_per_g","n_per_kg","stand_core_treat","standtype","native_shrub","nonnative_grass","n_per_g_log"
"1","Eriodictyon crassifolium","enhanced","ENH1","1","surface",350,347,"charate",1,"Eriodictyon crassifolium","shrub","native","perennial","Namaceae",2,"ENH1_1","ENH1_1_surface","ENH1_1_surface_charate",0.00576368876080692,5.76368876080692,"ENH1_1_charate","matrix",0.642276423,0.62601626,-5.15617759938691
"2","Eriodictyon crassifolium","enhanced","ENH1","1","surface",350,347,"ovenchar",1,"Eriodictyon crassifolium","shrub","native","perennial","Namaceae",2,"ENH1_1","ENH1_1_surface","ENH1_1_surface_ovenchar",0.00576368876080692,5.76368876080692,"ENH1_1_ovenchar","matrix",0.642276423,0.62601626,-5.15617759938691
"3","Eriodictyon crassifolium","enhanced","ENH1","4","surface",350,347,"oven",1,"Eriodictyon crassifolium","shrub","native","perennial","Namaceae",1,"ENH1_4","ENH1_4_surface","ENH1_4_surface_oven",0.00288184438040346,2.88184438040346,"ENH1_4_oven","matrix",0.642276423,0.62601626,-5.84932477994686
"4","Lactuca serriola","enhanced","ENH1","1","surface",350,347,"ovenchar",1,"Lactuca serriola","forb","nonnative","annual","Asteraceae",1,"ENH1_1","ENH1_1_surface","ENH1_1_surface_ovenchar",0.00288184438040346,2.88184438040346,"ENH1_1_ovenchar","matrix",0.642276423,0.62601626,-5.84932477994686
"5","Lactuca serriola","enhanced","ENH1","4","deep",350,347,"ovenchar",1,"Lactuca serriola","forb","nonnative","annual","Asteraceae",1,"ENH1_4","ENH1_4_deep","ENH1_4_deep_ovenchar",0.00288184438040346,2.88184438040346,"ENH1_4_ovenchar","matrix",0.642276423,0.62601626,-5.84932477994686
"6","Lactuca serriola","enhanced","ENH2","7","surface",350,347,"charate",1,"Lactuca serriola","forb","nonnative","annual","Asteraceae",1,"ENH2_7","ENH2_7_surface","ENH2_7_surface_charate",0.00288184438040346,2.88184438040346,"ENH2_7_charate","matrix",0.390243902,0.845528455,-5.84932477994686
"7","Trifolium willdenovii","enhanced","ENH2","7","surface",350,347,"charate",1,"Trifolium spp.","forb","native","annual","Fabaceae",1,"ENH2_7","ENH2_7_surface","ENH2_7_surface_charate",0.00288184438040346,2.88184438040346,"ENH2_7_charate","matrix",0.390243902,0.845528455,-5.84932477994686
"8","Trifolium willdenovii","enhanced","ENH2","8","deep",350,347,"ovenchar",1,"Trifolium spp.","forb","native","annual","Fabaceae",1,"ENH2_8","ENH2_8_deep","ENH2_8_deep_ovenchar",0.00288184438040346,2.88184438040346,"ENH2_8_ovenchar","matrix",0.390243902,0.845528455,-5.84932477994686
"9","Trifolium willdenovii","enhanced","ENH2","10","surface",350,347,"charate",1,"Trifolium spp.","forb","native","annual","Fabaceae",1,"ENH2_10","ENH2_10_surface","ENH2_10_surface_charate",0.00288184438040346,2.88184438040346,"ENH2_10_charate","matrix",0.390243902,0.845528455,-5.84932477994686
"10","Lupinus bicolor","enhanced","ENH2","9","surface",350,347,"charate",1,"Lupinus bicolor","forb","native","annual","Fabaceae",1,"ENH2_9","ENH2_9_surface","ENH2_9_surface_charate",0.00288184438040346,2.88184438040346,"ENH2_9_charate","matrix",0.390243902,0.845528455,-5.84932477994686
