"","stand","site","soilcore","depth_name","treatment","rep","species_diversity","genus_abundance","lifeform","status","lifescycle","family","count","stand_core","stand_core_depth","stand_core_depth_treat"
"1","degraded","DEG1",1,"surface","charate",1,"Acmispon maritimus","Acmispon spp.","forb","native","annual","Fabaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_charate"
"2","degraded","DEG1",1,"surface","charate",1,"Artemisia californica","Artemisia californica","shrub","native","perennial","Asteraceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_charate"
"3","degraded","DEG1",1,"surface","charate",1,"Astragalus trichopodus","Astragalus trichopodus","forb","native","perennial","Fabaceae",1,"DEG1_1","DEG1_1_surface","DEG1_1_surface_charate"
"4","degraded","DEG1",1,"surface","charate",1,"Bromus diandrus","Bromus spp.","grass","nonnative","annual","Poaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_charate"
"5","degraded","DEG1",1,"surface","charate",1,"Bromus madritensis","Bromus spp.","grass","nonnative","annual","Poaceae",2,"DEG1_1","DEG1_1_surface","DEG1_1_surface_charate"
"6","degraded","DEG1",1,"surface","charate",1,"Centaurea melitensis","Centaurea melitensis","forb","nonnative","annual","Asteraceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_charate"
"7","degraded","DEG1",1,"surface","charate",1,"Croton setiger","Croton setiger","forb","native","annual","Euphorbiaceae  ",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_charate"
"8","degraded","DEG1",1,"surface","charate",1,"Cryptantha spp.","Cryptantha spp.","forb","native","annual","Boraginaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_charate"
"9","degraded","DEG1",1,"surface","charate",1,"Emmenanthe penduliflora","Emmenanthe penduliflora","forb","native","annual","Hydrophyllaceae",1,"DEG1_1","DEG1_1_surface","DEG1_1_surface_charate"
"10","degraded","DEG1",1,"surface","charate",1,"Erigeron canadensis","Erigeron canadensis","forb","native","annual","Asteraceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_charate"
"11","degraded","DEG1",1,"surface","charate",1,"Erodium cicutarium","Erodium spp.","forb","nonnative","annual","Geraniaceae",1,"DEG1_1","DEG1_1_surface","DEG1_1_surface_charate"
"12","degraded","DEG1",1,"surface","charate",1,"Erodium moschatum","Erodium spp.","forb","nonnative","annual","Geraniaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_charate"
"13","degraded","DEG1",1,"surface","charate",1,"Eucrypta chrysanthemifolia","Eucrypta chrysanthemifolia","forb","native","annual","Hydrophyllaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_charate"
"14","degraded","DEG1",1,"surface","charate",1,"Fragaria vesca","Fragaria vesca","forb","native","perennial","Rosaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_charate"
"15","degraded","DEG1",1,"surface","charate",1,"Galium porrigens","Galium porrigens","forb","native","perennial","Rubiaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_charate"
"16","degraded","DEG1",1,"surface","charate",1,"Hirschfeldia incana","Hirschfeldia incana","forb","nonnative","annual","Brassicaceae",4,"DEG1_1","DEG1_1_surface","DEG1_1_surface_charate"
"17","degraded","DEG1",1,"surface","charate",1,"Malacothamnus fasciculatus","Malacothamnus fasciculatus","shrub","native","perennial","Malvaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_charate"
"18","degraded","DEG1",1,"surface","charate",1,"Nicotiana glauca","Nicotiana glauca","shrub","nonnative","perennial","Solanaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_charate"
"19","degraded","DEG1",1,"surface","charate",1,"Pseudognaphalium luteoalbum","Pseudognaphalium luteoalbum","forb","nonnative","annual","Asteraceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_charate"
"20","degraded","DEG1",1,"surface","charate",1,"Trifolium gracelentum","Trifolium spp.","forb","native","annual","Fabaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_charate"
"21","degraded","DEG1",1,"surface","control",1,"Acmispon maritimus","Acmispon spp.","forb","native","annual","Fabaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_control"
"22","degraded","DEG1",1,"surface","control",1,"Artemisia californica","Artemisia californica","shrub","native","perennial","Asteraceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_control"
"23","degraded","DEG1",1,"surface","control",1,"Astragalus trichopodus","Astragalus trichopodus","forb","native","perennial","Fabaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_control"
"24","degraded","DEG1",1,"surface","control",1,"Bromus diandrus","Bromus spp.","grass","nonnative","annual","Poaceae",0,"DEG1_1","DEG1_1_surface","DEG1_1_surface_control"
"25","degraded","DEG1",1,"surface","control",1,"Bromus madritensis","Bromus spp.","grass","nonnative","annual","Poaceae",4,"DEG1_1","DEG1_1_surface","DEG1_1_surface_control"
