"","standtype","site","site_rep","leaftype","sum_leaftype_cover","num_species","percentcover_nonnative","percentcover_native","native_fern","native_forb","native_grass","native_shrub","nonnative_fern","nonnative_forb","nonnative_grass","nonnative_shrub"
"1","intact","INT1","INT1_1","nonsclero",12.1951219512195,1,0.268292682926829,0.878048780487805,0.024390244,0.048780488,0.536585366,0.707317073,0,0.024390244,0.243902439,0
"2","intact","INT1","INT1_1","sclerophyllous",51.219512195122,1,0.268292682926829,0.878048780487805,0.024390244,0.048780488,0.536585366,0.707317073,0,0.024390244,0.243902439,0
"3","intact","INT2","INT2_2","nonsclero",68.2926829268293,2,0.0731707317073171,0.926829268292683,0,0.146341463,0.43902439,0.707317073,0,0,0.073170732,0
"4","intact","INT2","INT2_2","sclerophyllous",24.390243902439,3,0.0731707317073171,0.926829268292683,0,0.146341463,0.43902439,0.707317073,0,0,0.073170732,0
"5","intact","INT3","INT3_3","nonsclero",34.1463414634146,2,0.121951219512195,0.951219512195122,0,0,0.731707317,0.951219512,0,0,0.12195122,0
"6","intact","INT3","INT3_3","sclerophyllous",82.9268292682927,2,0.121951219512195,0.951219512195122,0,0,0.731707317,0.951219512,0,0,0.12195122,0
"7","matrix","ENH1","ENH1_1","nonsclero",56.0975609756098,3,0.853658536585366,0.585365853658537,0,0.12195122,0.024390244,0.536585366,0,0.292682927,0.756097561,0
"8","matrix","ENH1","ENH1_1","sclerophyllous",9.75609756097561,1,0.853658536585366,0.585365853658537,0,0.12195122,0.024390244,0.536585366,0,0.292682927,0.756097561,0
"9","matrix","ENH1","ENH1_2","nonsclero",53.6585365853659,1,0.780487804878049,0.780487804878049,0,0.146341463,0.317073171,0.585365854,0,0.219512195,0.658536585,0
"10","matrix","ENH1","ENH1_3","nonsclero",102.439024390244,5,0.682926829268293,0.926829268292683,0,0.097560976,0.170731707,0.804878049,0,0.365853659,0.463414634,0
"11","matrix","ENH2","ENH2_4","nonsclero",34.1463414634146,2,0.902439024390244,0.439024390243902,0,0.073170732,0,0.414634146,0,0.024390244,0.87804878,0
"12","matrix","ENH2","ENH2_5","nonsclero",26.8292682926829,2,0.853658536585366,0.317073170731707,0,0.024390244,0,0.292682927,0,0.146341463,0.829268293,0
"13","matrix","ENH2","ENH2_6","nonsclero",56.0975609756098,3,0.853658536585366,0.463414634146341,0,0,0,0.463414634,0,0.024390244,0.829268293,0
"14","degraded","DEG1","DEG1_1","nonsclero",41.4634146341463,2,1,0.463414634146341,0,0.097560976,0,0.390243902,0,0.804878049,1,0
"15","degraded","DEG1","DEG1_2","nonsclero",39.0243902439024,2,0.902439024390244,0.439024390243902,0,0.048780488,0,0.390243902,0,0.609756098,0.902439024,0
"16","degraded","DEG1","DEG1_3","nonsclero",14.6341463414634,2,0.975609756097561,0.195121951219512,0,0,0,0.195121951,0,0.292682927,0.975609756,0
"17","degraded","DEG2","DEG2_4","nonsclero",24.390243902439,2,1,0.268292682926829,0,0,0,0.268292683,0,0.341463415,0.975609756,0
"18","degraded","DEG2","DEG2_5","nonsclero",19.5121951219512,1,1,0.219512195121951,0,0.024390244,0,0.219512195,0,0.585365854,0.975609756,0
"19","degraded","DEG2","DEG2_6","nonsclero",17.0731707317073,2,0.926829268292683,0.219512195121951,0,0.048780488,0.048780488,0.170731707,0,0.463414634,0.902439024,0
