,standtype,site,site_rep,leaftype,sum_leaftype_cover,num_species,percentcover_nonnative,percentcover_native,native_fern,native_forb,native_grass,native_shrub,nonnative_fern,nonnative_forb,nonnative_grass,nonnative_shrub
1,intact,INT1,INT1_1,nonsclero,12.19512195,1,0.268292683,0.87804878,0.024390244,0.048780488,0.536585366,0.707317073,0,0.024390244,0.243902439,0
2,intact,INT1,INT1_1,sclerophyllous,51.2195122,1,0.268292683,0.87804878,0.024390244,0.048780488,0.536585366,0.707317073,0,0.024390244,0.243902439,0
3,intact,INT2,INT2_2,nonsclero,68.29268293,2,0.073170732,0.926829268,0,0.146341463,0.43902439,0.707317073,0,0,0.073170732,0
4,intact,INT2,INT2_2,sclerophyllous,24.3902439,3,0.073170732,0.926829268,0,0.146341463,0.43902439,0.707317073,0,0,0.073170732,0
5,intact,INT3,INT3_3,nonsclero,34.14634146,2,0.12195122,0.951219512,0,0,0.731707317,0.951219512,0,0,0.12195122,0
6,intact,INT3,INT3_3,sclerophyllous,82.92682927,2,0.12195122,0.951219512,0,0,0.731707317,0.951219512,0,0,0.12195122,0
7,matrix,ENH1,ENH1_1,nonsclero,56.09756098,3,0.853658537,0.585365854,0,0.12195122,0.024390244,0.536585366,0,0.292682927,0.756097561,0
8,matrix,ENH1,ENH1_1,sclerophyllous,9.756097561,1,0.853658537,0.585365854,0,0.12195122,0.024390244,0.536585366,0,0.292682927,0.756097561,0
9,matrix,ENH1,ENH1_2,nonsclero,53.65853659,1,0.780487805,0.780487805,0,0.146341463,0.317073171,0.585365854,0,0.219512195,0.658536585,0
10,matrix,ENH1,ENH1_3,nonsclero,102.4390244,5,0.682926829,0.926829268,0,0.097560976,0.170731707,0.804878049,0,0.365853659,0.463414634,0
11,matrix,ENH2,ENH2_4,nonsclero,34.14634146,2,0.902439024,0.43902439,0,0.073170732,0,0.414634146,0,0.024390244,0.87804878,0
12,matrix,ENH2,ENH2_5,nonsclero,26.82926829,2,0.853658537,0.317073171,0,0.024390244,0,0.292682927,0,0.146341463,0.829268293,0
13,matrix,ENH2,ENH2_6,nonsclero,56.09756098,3,0.853658537,0.463414634,0,0,0,0.463414634,0,0.024390244,0.829268293,0
14,degraded,DEG1,DEG1_1,nonsclero,41.46341463,2,1,0.463414634,0,0.097560976,0,0.390243902,0,0.804878049,1,0
15,degraded,DEG1,DEG1_2,nonsclero,39.02439024,2,0.902439024,0.43902439,0,0.048780488,0,0.390243902,0,0.609756098,0.902439024,0
16,degraded,DEG1,DEG1_3,nonsclero,14.63414634,2,0.975609756,0.195121951,0,0,0,0.195121951,0,0.292682927,0.975609756,0
17,degraded,DEG2,DEG2_4,nonsclero,24.3902439,2,1,0.268292683,0,0,0,0.268292683,0,0.341463415,0.975609756,0
18,degraded,DEG2,DEG2_5,nonsclero,19.51219512,1,1,0.219512195,0,0.024390244,0,0.219512195,0,0.585365854,0.975609756,0
19,degraded,DEG2,DEG2_6,nonsclero,17.07317073,2,0.926829268,0.219512195,0,0.048780488,0.048780488,0.170731707,0,0.463414634,0.902439024,0
20,matrix,ENH1,ENH1_2,sclerophyllous,0,0,0.780487805,0.780487805,0,0.146341463,0.317073171,0.585365854,0,0.219512195,0.658536585,0
21,matrix,ENH1,ENH1_3,sclerophyllous,0,0,0.682926829,0.926829268,0,0.097560976,0.170731707,0.804878049,0,0.365853659,0.463414634,0
22,matrix,ENH2,ENH2_4,sclerophyllous,0,0,0.902439024,0.43902439,0,0.073170732,0,0.414634146,0,0.024390244,0.87804878,0
23,matrix,ENH2,ENH2_5,sclerophyllous,0,0,0.853658537,0.317073171,0,0.024390244,0,0.292682927,0,0.146341463,0.829268293,0
24,matrix,ENH2,ENH2_6,sclerophyllous,0,0,0.853658537,0.463414634,0,0,0,0.463414634,0,0.024390244,0.829268293,0
25,degraded,DEG1,DEG1_1,sclerophyllous,0,0,1,0.463414634,0,0.097560976,0,0.390243902,0,0.804878049,1,0
26,degraded,DEG1,DEG1_2,sclerophyllous,0,0,0.902439024,0.43902439,0,0.048780488,0,0.390243902,0,0.609756098,0.902439024,0
27,degraded,DEG1,DEG1_3,sclerophyllous,0,0,0.975609756,0.195121951,0,0,0,0.195121951,0,0.292682927,0.975609756,0
28,degraded,DEG2,DEG2_4,sclerophyllous,0,0,1,0.268292683,0,0,0,0.268292683,0,0.341463415,0.975609756,0
29,degraded,DEG2,DEG2_5,sclerophyllous,0,0,1,0.219512195,0,0.024390244,0,0.219512195,0,0.585365854,0.975609756,0
30,degraded,DEG2,DEG2_6,sclerophyllous,0,0,0.926829268,0.219512195,0,0.048780488,0.048780488,0.170731707,0,0.463414634,0.902439024,0
