"","standtype","lifestage","mean_density_100m2","n","sd","se"
"1","intact","mature",42.1,3,22.5,13
"2","intact","immature",18.3,3,2.9,1.7
"3","intact","resprout",0.4,3,0.7,0.4
"4","intact","seedling",2.9,3,4,2.3
"5","intact","dead",9.2,3,13.7,7.9
"6","matrix","mature",61.9,6,52.4,21.4
"7","matrix","immature",14,6,22.2,9.1
"8","matrix","resprout",0.6,6,1.5,0.6
"9","matrix","seedling",1,6,1.5,0.6
"10","matrix","dead",53.3,6,127,51.8
"11","degraded","mature",15,6,6.1,2.5
"12","degraded","immature",3.1,6,2.2,0.9
"13","degraded","resprout",0.2,6,0.5,0.2
"14","degraded","seedling",0.6,6,1.5,0.6
"15","degraded","dead",0,6,0,0
