"","species","leaftype"
"1","Salvia leucophylla","nonsclero"
"2","Artemisia californica","nonsclero"
"3","Malacothamnus fasciculatus","nonsclero"
"4","Heteromeles arbutifolia","sclerophyllous"
"5","Rhus ovata","sclerophyllous"
"6","Eriodictyon crassifolium","nonsclero"
"7","Rhamnus ilicifolia","sclerophyllous"
"8","Baccharis pilularis","nonsclero"
"9","Malacothamnus fasciculatus dead","dead_shrub"
"10","Salvia leucophylla dead","dead_shrub"
"11","Heteromeles arbutifolia dead","dead_shrub"
"12","Artemisia californica dead","dead_shrub"
"13","Ceanothus oliganthus","nonsclero"
"14","Ceanothus oliganthus dead","dead_shrub"
"15","Eriogonum fasciculatum","nonsclero"
"16","Rhamnus ilicifolia dead","dead_shrub"
"17","Sambucus mexicana","nonsclero"
"18","Salvia apiana","nonsclero"
"19","Cenothus oliganthus","nonsclero"
"20","Quercus agrifolia","sclerophyllous"
"21","no_shrubs","no_shrubs"
"22","Ceanothus cuneatus","sclerophyllous"
"23","unknown5 shrub","unknown"
