"","species","lifeform","status","lifecycle","family"
"1","Acmispon glaber","forb","native","annual","Fabaceae"
"2","Acmispon maritimus","forb","native","annual","Fabaceae"
"3","Acmispon strigosus","forb","native","annual","Fabaceae"
"4","Apiastrum angustifolium","forb","native","annual","Apiaceae"
"5","Artemisia californica","shrub","native","perennial","Asteraceae"
"6","Artemisia californica dead","shrub","native","perennial","Asteraceae"
"7","Astragalus trichopodus","forb","native","perennial","Fabaceae"
"8","Avena barbata","grass","nonnative","annual","Poaceae"
"9","Baccharis pilularis","shrub","native","perennial","Asteraceae"
"10","bare_ground","ground","ground","ground","ground"
"11","Bromus diandrus","grass","nonnative","annual","Poaceae"
"12","Bromus hordeaceus","grass","nonnative","annual","Poaceae"
"13","Bromus rubens","grass","nonnative","annual","Poaceae"
"14","Bromus spp.","grass","nonnative","annual","Poaceae"
"15","Calochortus clavatus","forb","native","perennial","Liliaceae"
"16","Calystegia macrostegia","forb","native","perennial","Convolvulaceae  "
"17","Carduus pycnocephalus","forb","nonnative","annual","Asteraceae"
"18","Ceanothus oliganthus","shrub","native","perennial","Rhamnaceae"
"19","Ceanothus oliganthus dead","shrub","native","perennial","Rhamnaceae"
"20","Centaurea melitensis","forb","nonnative","annual","Asteraceae"
"21","Chenopodium californicum","forb","native","perennial","Chenopodiaceae  "
"22","Claytonia perfoliata","forb","native","annual","Montiaceae"
"23","Croton setiger","forb","native","annual","Euphorbiaceae  "
"24","Heteromeles arbutifolia dead","shrub","native","perennial","Rosaceae"
"25","Malacothamnus fasciculatus dead","shrub","native","perennial","Malvaceae"
"26","Rhamnus ilicifolia dead","shrub","native","perennial","Rhamnaceae"
"27","Dipterostemon capitatus","forb","native","perennial","Themidaceae"
"28","Elymus condensatus","grass","native","perennial","Poaceae"
"29","Elymus condensatus dead","grass","native","perennial","Poaceae"
"30","Eriodictyon crassifolium","shrub","native","perennial","Namaceae"
"31","Eriogonum fasciculatum","shrub","native","perennial","Polygonaceae"
"32","Erodium cicutarium","forb","nonnative","annual","Geraniaceae"
"33","Erodium spp.","forb","nonnative","annual","Geraniaceae"
"34","Eschscholzia californica","forb","native","annual","Papaveraceae  "
"35","Euphorbia albomarginata","forb","native","perennial","Euphorbiaceae"
"36","Festuca myros","grass","nonnative","annual","Poaceae"
"37","Galium porrigens","forb","native","perennial","Rubiaceae"
"38","Heteromeles arbutifolia","shrub","native","perennial","Rosaceae"
"39","Hirschfeldia incana","forb","nonnative","annual","Brassicaceae"
"40","litter","ground","ground","ground","ground"
"41","litter","litter","litter","litter","litter"
"42","Lupinus spp.","forb","native","annual","Fabaceae"
"43","Lysimachia arvensis","forb","nonnative","annual","Myrsinaceae  "
"44","Malacothamnus fasciculatus","shrub","native","perennial","Malvaceae"
"45","Marah macrocarpa","forb","native","perennial","Cucurbitaceae"
"46","Marah macrocarpa dead","forb","native","perennial","Cucurbitaceae"
"47","Mirabilis laevis var. crassifolia","forb","native","perennial","Nyctaginaceae  "
"48","moss","ground","ground","ground","ground"
"49","no_species",NA,NA,NA,NA
"50","thatch","ground","ground","ground","ground"
"51","Pellaea andromedifolia","fern","native","perennial","Pteridaceae"
"52","Phacelia hubbyi","forb","native","annual","Hydrophyllaceae  "
"53","Pseudognaphalium luteoalbum","forb","nonnative","annual","Asteraceae"
"54","Pterostegia drymarioides","forb","native","annual","Polygonaceae"
"55","Rapistrum rugosum","forb","nonnative","annual","Brassicaceae"
"56","Rhamnus ilicifolia","shrub","native","perennial","Rhamnaceae"
"57","Rhus ovata","shrub","native","perennial","Anacardiaceae"
"58","rock","rock","rock","rock","rock"
"59","Salvia leucophylla","shrub","native","perennial","Lamiaceae"
"60","Salvia leucophylla dead","shrub","native","perennial","Lamiaceae"
"61","Sambucus mexicana","shrub","native","perennial","Virburnaceae"
"62","Solanum xanti","forb","native","perennial","Solanacaeae"
"63","Sonchus oleraceus","forb","nonnative","annual","Asteraceae"
"64","Stephanomeria virgata","forb","native","annual","Asteraceae"
"65","Stipa lepida","grass","native","perennial","Poaceae"
"66","Stipa lepida dead","grass","native","perennial","Poaceae"
"67","unknown2","forb","unknown","unknown","unknown"
"68","unknown3","unknown","unknown","unknown","unknown"
